strategy,category,param_window,param_multiplier,param_allow_short,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
supertrend,trend,7,1.5,True,2.4484333397242297,41.278261818047746,0.14758062832422986,0.21349714025533725,0.01532634602537734,0.6326449239495213,24.386421395700914,102448.43333972423,61.0,31.147540983606557,1.0190838539495737,40.13825147088846,0.6326449239495213,0.059315320749618435,6.767874927102908,23.045847740861824,0.3160651596052912,0.44944761490679824,0.17635295868019282,4.06420343439422,17.372105684282342,106767.87492710291,24.0,29.166666666666668,1.169289884016279,281.9947886292873,4.06420343439422,0.2936700356265487,0.7424242424242425,0.3996212121212121,0.39962121212121204
supertrend,trend,7,2.0,True,-29.619259168418527,52.38890350433368,-0.25070128306186795,-0.357754180795525,-0.16703549389147107,-8.750806371278996,24.535421030195298,70380.74083158147,47.0,34.04255319148936,0.7434313254353098,-630.1970035833699,-8.750806371278996,-0.5653727638328674,-3.0531745150197676,29.95212660637,-0.021289217988866307,-0.030184660948198095,-0.06238666809080242,-1.8686133812052974,17.423156470922173,96946.82548498023,18.0,33.33333333333333,0.9322008175690131,-169.62080638999169,-1.8686133812052974,-0.10193514988583283,0.3143939393939394,0.23484848484848486,0.2348484848484849
supertrend,trend,7,3.0,True,-8.52929970802077,46.9684432245386,0.02545615414640171,0.03600665241543814,-0.04891587548126497,-2.2975025203203936,24.256434600582235,91470.70029197923,23.0,34.78260869565217,0.8893278845164209,-370.8391177400372,-2.2975025203203936,-0.18159638945760606,18.427164005743744,22.893888219329362,0.6823726253425109,0.9923334040722855,0.47333692579541187,10.836522669241155,17.25807267970571,118427.16400574375,8.0,37.5,1.6396669471398666,2303.395500717971,10.836522669241155,0.8048944691791431,0.5265151515151515,0.6809843386022086,0.5265151515151515
supertrend,trend,10,1.5,True,12.609266926921425,43.52818355335371,0.24867751767800222,0.36290679159854033,0.07224075842129106,3.1445089925954406,24.242825245823486,112609.26692692142,60.0,33.33333333333333,1.0933320572776186,210.1544487820238,3.1445089925954406,0.2896805218500766,-6.715440107650094,29.748334986064062,-0.15583666077265204,-0.21752454642859814,-0.13919082321129425,-4.140695235875603,17.4159827454722,93284.5598923499,24.0,29.166666666666668,0.8550915171922285,-279.81000448542386,-4.140695235875603,-0.22574171330247614,0.9299242424242423,0.10037878787878786,0.1003787878787879
supertrend,trend,10,2.0,True,-33.30819524117937,48.55434859181973,-0.31125339118741485,-0.4398903550468737,-0.2064213429027189,-10.022653840090168,24.38341744037583,66691.80475882062,46.0,32.608695652173914,0.6955101443566014,-724.0912008952046,-10.022653840090168,-0.6859981898056196,-6.381000488069242,32.042281888417044,-0.14326603842075236,-0.20387303667530568,-0.12270585414509659,-3.9317755678761723,17.42319510682763,93618.99951193076,18.0,33.33333333333333,0.858880465981675,-354.50002711495745,-3.9317755678761723,-0.19914313563216945,0.2159090909090909,0.15151515151515152,0.15151515151515152
supertrend,trend,10,3.0,True,-4.595518461855478,48.741215990647376,0.07039720808904515,0.10014737149834124,-0.025010243159418362,-1.2190296638118214,24.22202591843958,95404.48153814452,20.0,40.0,0.9378491596434847,-229.77592309277225,-1.2190296638118214,-0.0942840339218718,31.93981650324083,21.756702536948545,1.077691760138375,1.5816437375912622,0.8441747798213479,18.366459573767102,16.985633794297623,131939.81650324084,6.0,33.33333333333333,2.501360789609101,5323.3027505401415,18.366459573767102,1.4680449139293377,0.5681818181818182,0.7452558863156696,0.5681818181818182
supertrend,trend,14,1.5,True,3.873467497355363,45.12868358484779,0.16149321272849168,0.23402445778546896,0.022064134863796266,0.9957253608416705,24.1302127042234,103873.46749735536,57.0,33.33333333333333,1.0286961335651355,67.95557012903828,0.9957253608416705,0.08583160840649695,7.913063935988045,25.844446121371114,0.3536969603165491,0.503293422992895,0.18347460322970535,4.741799497810062,17.346266855429736,107913.06393598804,20.0,35.0,1.2079881998349629,395.65319679940126,4.741799497810062,0.30618044197297106,0.7935606060606062,0.49242424242424243,0.49242424242424243
supertrend,trend,14,2.0,True,-30.058401145711628,49.85670374810509,-0.26397470077129304,-0.3764460685830068,-0.17850333584888725,-8.89958793346648,24.21506332011117,69941.59885428837,45.0,33.33333333333333,0.740408899732227,-667.9644699046987,-8.89958793346648,-0.6028958773042444,15.079680798203887,23.923011148386387,0.5803086815793813,0.8523618109324408,0.3728614883955181,8.91996954368992,17.297120321656035,115079.68079820389,14.0,35.714285714285715,1.4382229158060964,1077.1200570145652,8.91996954368992,0.6303420879867381,0.25946969696969696,0.5852272727272727,0.259469696969697
supertrend,trend,14,3.0,True,0.15133309018038563,55.45181517123739,0.12203470318035484,0.17350055432602038,0.0007111155350381752,0.039432647214332484,24.080088670928294,100151.33309018039,19.0,31.57894736842105,1.0020326255823027,7.964899483174577,0.039432647214332484,0.0027290917296947464,29.639112769175174,22.52514378261,1.0156760078264175,1.4964567477783792,0.7594413612222292,17.106525855991773,16.964920970009896,129639.11276917518,6.0,33.33333333333333,2.353315914080162,4939.8521281958665,17.106525855991773,1.3158234662216604,0.553030303030303,0.6836402421714608,0.553030303030303
supertrend,trend,21,1.5,True,-20.142298550902897,43.19019261152044,-0.12244761951636787,-0.17373485340384776,-0.1318693154952713,-5.695461135790126,24.13028824335594,79857.7014490971,58.0,34.48275862068966,0.8373862753975738,-347.2810094983274,-5.695461135790126,-0.4663627859240015,6.764001577688717,25.844446121371114,0.3161219965520797,0.4497026666303074,0.15716749275492406,4.061906798535619,17.349376334699304,106764.00157768872,20.0,35.0,1.1751386415119167,338.20007888443524,4.061906798535619,0.261719734519498,0.49621212121212127,0.3939393939393939,0.3939393939393939
supertrend,trend,21,2.0,True,-43.12252147562996,52.323048628590186,-0.48829295717373095,-0.6828451372570027,-0.2614602039345811,-13.680394964910192,24.15224923213249,56877.47852437004,44.0,34.090909090909086,0.6131733387513802,-980.0573062643186,-13.680394964910192,-0.8241591919028032,16.478864841243777,23.41696922670454,0.6227035078058292,0.9138829845645033,0.41524045622711697,9.723672985153154,17.301839071745942,116478.86484124378,14.0,35.714285714285715,1.4835366877544403,1177.0617743745538,9.723672985153154,0.7037146729667902,0.125,0.6647727272727273,0.125
supertrend,trend,21,3.0,True,7.866291835177079,48.70933729034979,0.20224694877228666,0.289596437208122,0.04093266112875052,1.9938027971118988,24.04650866582683,107866.29183517708,18.0,33.33333333333333,1.1036780635010697,437.0162130653962,1.9938027971118988,0.16149453621771068,27.85392666077292,25.935354416205225,0.9644471060093794,1.4109630275798115,0.621655693463669,16.122860734832088,16.997030602845808,127853.92666077292,6.0,33.33333333333333,2.161893660022071,4642.321110128816,16.122860734832088,1.0739751697153948,0.8390151515151515,0.569211188760787,0.569211188760787
