strategy,category,param_window,param_z_entry,param_z_exit,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
zscore_reversion,mean_reversion,10,1.5,0.0,21.525198791900156,15.746017908134524,0.39692908310900515,0.5890732308954145,0.33113430246184206,5.214046656561799,16.03924337953834,121525.19879190015,66.0,66.66666666666666,1.2857357977909791,326.1393756348498,5.214046656561799,1.3670249149646945,-12.350461335974934,25.991448598733292,-0.4450695104563022,-0.6268191088507201,-0.29648845893323483,-7.70616454048082,15.366996417240985,87649.53866402507,24.0,50.0,0.6626161220762605,-514.6025556656218,-7.70616454048082,-0.4751740284524519,0.25370670995671,0.13568134763786935,0.13568134763786938
zscore_reversion,mean_reversion,10,1.5,0.5,21.920161897142854,16.493325837859075,0.4289167577760727,0.6426686458105099,0.3215295280655398,5.303091272878002,14.488466056501908,121920.16189714285,74.0,66.21621621621621,1.3303814470174775,296.2184040154434,5.303091272878002,1.3290322468999505,-18.80876368114597,26.884434116676204,-0.8222588679392674,-1.134984385443786,-0.44282022268316246,-11.904971102257367,14.189589480936027,81191.23631885403,26.0,42.30769230769231,0.49132479021268594,-723.4139877363835,-11.904971102257367,-0.6996153833671002,0.2573268398268398,0.05182453416149069,0.05182453416149069
zscore_reversion,mean_reversion,10,1.5,1.0,-2.0631337476398475,15.141320608956544,0.018808539467546587,0.027243569806753194,-0.03579874466526092,-0.5420402703748883,12.487522056168118,97936.86625236015,84.0,63.095238095238095,0.9714362821476525,-24.561116043332277,-0.5420402703748883,-0.13625850749236776,-6.721048871935185,12.088865506013901,-0.33209084181176657,-0.48970650329491633,-0.3428114447839493,-4.1442014499154745,10.946711359421792,93278.95112806481,34.0,55.88235294117647,0.7511568680626032,-197.67790799809268,-4.1442014499154745,-0.5559701916272983,0.08193181818181818,0.17740683229813664,0.08193181818181816
zscore_reversion,mean_reversion,10,2.0,0.0,-4.095761335705975,23.937903098604195,-0.027808132969884873,-0.039895518054255036,-0.045299916010978464,-1.0843849998457111,12.251711848627757,95904.23866429403,34.0,67.64705882352942,0.917606196836858,-120.46356869723422,-1.0843849998457111,-0.17109941997988937,-8.228966355735567,19.189708706145424,-0.3520562185554044,-0.5049883183861852,-0.265239346183731,-5.0898657906742635,12.59153216455787,91771.03364426443,14.0,42.857142857142854,0.6565351458623583,-587.7833111239679,-5.0898657906742635,-0.42882184830144265,0.04866883116883117,0.15066817240730285,0.04866883116883117
zscore_reversion,mean_reversion,10,2.0,0.5,4.041468311123797,21.32807587630847,0.14862125388000294,0.2175191638073778,0.04868168550056161,1.038286682142564,11.050383207263913,104041.4683111238,36.0,58.333333333333336,1.0937378318654245,112.2630086423294,1.038286682142564,0.1894905257540422,-10.605882370065855,21.003717939228196,-0.5478113030818376,-0.7818877932940798,-0.31389493796975443,-6.592960739668252,11.289018682879703,89394.11762993415,14.0,35.714285714285715,0.5208719500269751,-757.5630264332735,-6.592960739668252,-0.5049526184246397,0.11275974025974027,0.10353143233578016,0.10353143233578016
zscore_reversion,mean_reversion,10,2.0,1.0,-7.5757061266747625,20.907841079299594,-0.1771812913744371,-0.24999173746043896,-0.09723463726194444,-2.032966343276077,9.203114657018684,92424.29387332524,39.0,56.41025641025641,0.8380004321612711,-194.24887504294247,-2.032966343276077,-0.36233803853499286,-7.788858761075666,15.012866316936702,-0.5484130810625932,-0.7727828820780002,-0.32060734093830334,-4.813235149735295,8.358510661980745,92211.14123892433,16.0,50.0,0.5443376550391561,-486.80367256722957,-4.813235149735295,-0.5188122372267245,0.02731060606060606,0.12601755128929043,0.027310606060606063
zscore_reversion,mean_reversion,10,2.5,0.0,8.644629516016385,4.19077066522624,0.5403860897034489,0.9467991690005738,0.5214242048007952,2.1851692616180918,4.159163586873223,108644.62951601639,5.0,80.0,6.393069730400697,1728.9259032032762,2.1851692616180918,2.0627779963592214,1.4087066509799333,3.326337066855989,0.23470376247503624,0.4039544765717507,0.25692357586890746,0.8546144137619338,3.956552866254099,101408.70665097993,1.0,100.0,inf,1408.7066509799279,0.8546144137619338,0.4235008727817908,0.28189952079949737,0.12739803668806052,0.12739803668806055
zscore_reversion,mean_reversion,10,2.5,0.5,10.727694131122728,4.19077066522624,0.7265849410012881,1.5541829273378303,0.6424556964570256,2.6923844864195967,3.752428366397965,110727.69413112273,5.0,100.0,inf,2145.538826224544,2.6923844864195967,2.559838031734335,-1.1722344350242493,3.326337066855989,-0.18899048227056525,-0.2858839235849942,-0.2148775857155775,-0.7147552782022504,3.4773980005541736,98827.76556497575,1.0,0.0,0.0,-1172.2344350242545,-0.7147552782022504,-0.3524099967813034,0.33016491548503374,0.07456227984542625,0.07456227984542624
zscore_reversion,mean_reversion,10,2.5,1.0,8.542461941073139,1.5686769634322362,0.7956291711995732,2.306339962019531,1.377025178997652,2.160107676359768,2.7323882667057373,108542.46194107314,5.0,100.0,inf,1708.4923882146304,2.160107676359768,5.445647599989223,-0.1915670868974994,2.4691288811649392,-0.039467075408122075,-0.06506681879141332,-0.0472151953242965,-0.11658040240506429,2.293949925665467,99808.4329131025,1.0,0.0,0.0,-191.5670868975012,-0.11658040240506429,-0.07758488767387377,0.418409775556001,0.09883977676297977,0.09883977676297975
zscore_reversion,mean_reversion,10,3.0,0.0,0.0,0.0,,,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
zscore_reversion,mean_reversion,10,3.0,0.5,0.0,0.0,,,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
zscore_reversion,mean_reversion,10,3.0,1.0,0.0,0.0,,,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
zscore_reversion,mean_reversion,20,1.5,0.0,54.11798861542625,12.276810463840471,0.7983639303673772,1.2209245501228008,0.9723710016656972,11.937614487984472,15.658680347771433,154117.98861542623,37.0,72.97297297297297,2.5429497383566684,1462.64834095747,11.937614487984472,4.408147276918771,21.089800891105043,9.437420305761957,0.8312869472101483,1.3062150412558238,1.3081824379320435,12.345867503381047,15.43193418713451,121089.80089110504,15.0,73.33333333333333,2.256915169704739,1405.9867260736683,12.345867503381047,2.2346997598728118,0.5021212121212122,0.6336168360624882,0.5021212121212122
zscore_reversion,mean_reversion,20,1.5,0.5,16.560159328921685,17.538071671791332,0.3545593055659743,0.5200027490010318,0.2324083716610181,4.0759946793152535,14.04715033241471,116560.15932892168,40.0,65.0,1.418018493877418,414.0039832230432,4.0759946793152535,0.9442406006104682,-0.08128019788379606,12.166349945209,0.06487229064030084,0.09440844520814314,-0.004064762835290605,-0.049453327098425426,13.725563937256272,99918.7198021162,15.0,66.66666666666666,0.9959088759183147,-5.418679858921678,-0.049453327098425426,-0.006680738121938,0.20400974025974025,0.2906667607754564,0.20400974025974028
zscore_reversion,mean_reversion,20,1.5,1.0,14.981855041770775,14.467428105427448,0.3600570927395021,0.5359387285365839,0.25621187377791077,3.7067268636387762,12.157290587574062,114981.85504177077,49.0,71.42857142857143,1.305156179004948,305.75214370960896,3.7067268636387762,1.0355575941068849,-12.937475250801727,17.895313828597747,-0.6550564878264392,-0.8862923177993393,-0.45166467422865225,-8.082681090613097,11.801272177507379,87062.52474919827,17.0,47.05882352941176,0.4533097472047871,-761.0279559295133,-8.082681090613097,-0.722953247689174,0.22433441558441558,0.06424101261057784,0.06424101261057785
