strategy,category,param_fast_window,param_slow_window,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
sma_cross,trend,5,50,55.42826653006402,28.958457469547017,0.7663368751123769,1.1297354843464882,0.4207735311435253,12.184952405930893,16.857197501092518,155428.26653006402,22.0,27.27272727272727,1.8030648112373155,2519.4666604574545,12.184952405930893,1.9140614305286427,9.484504524080387,15.703652757988063,0.4146427057084325,0.5894788965388953,0.3608738657810068,5.667037877657721,16.624876935853013,109484.50452408039,11.0,36.36363636363637,1.4103076954304063,862.2276840073105,5.667037877657721,0.6039680493607357,0.8480861244019139,0.7583732057416267,0.7583732057416267
sma_cross,trend,5,100,48.94571567360778,30.16762381466842,0.7066615593408493,1.0501827345520895,0.36283276622359445,10.945802399068928,16.66073280599879,148945.71567360777,14.0,28.57142857142857,2.026978597952981,3496.1225481148385,10.945802399068928,1.62245843339537,6.548471068559492,15.758005253839602,0.31462133798720926,0.4449532975387687,0.2496547089425623,3.9340602151626936,16.686339679714845,106548.47106855949,8.0,37.5,1.4942861037325752,818.5588835699355,3.9340602151626936,0.4155647217444535,0.8086124401913876,0.5424337151159777,0.5424337151159777
sma_cross,trend,5,150,30.25592464982603,34.360961271860745,0.49661490500624383,0.7236206285871774,0.20763387066450634,7.134499388629645,16.67255995243734,130255.92464982603,11.0,27.27272727272727,1.6664489007650702,2750.538604529638,7.134499388629645,0.8805319621428503,-9.092801233607387,24.11403239159857,-0.24200606901186383,-0.33116630939194724,-0.2336542722822809,-5.634346690250314,17.578134834756256,90907.19876639261,10.0,30.0,0.6068312730886127,-909.2801233607406,-5.634346690250314,-0.37707510241113207,0.6279904306220095,0.21531100478468898,0.215311004784689
sma_cross,trend,5,200,5.187892294150239,46.32297858819102,0.16376006956418357,0.23420236590727445,0.028654753426203623,1.3273735294119238,14.220669863642696,105187.89229415024,12.0,8.333333333333332,1.1046482865453908,432.32435784585505,1.3273735294119238,0.11199392725304527,-5.111646247571218,22.813458186362155,-0.08411066251528357,-0.1163976427236073,-0.13770267366313207,-3.1414741877641372,18.219990510945816,94888.35375242878,9.0,22.22222222222222,0.77459362627608,-567.9606941745799,-3.1414741877641372,-0.22406275303877216,0.18181818181818182,0.2859667357759922,0.18181818181818182
sma_cross,trend,10,50,56.47514895881678,27.547297388222923,0.7811119013029991,1.1572453360447499,0.4494620350295122,12.381464343673843,16.73584573653196,156475.14895881678,16.0,31.25,1.986806542746119,3529.696809926048,12.381464343673843,2.050115775893179,9.291967272560505,16.17437498208012,0.4106757722657071,0.5832939182956319,0.3433799469708292,5.553956023632978,16.457477790717547,109291.9672725605,8.0,50.0,1.5877305757507805,1161.4959090700631,5.553956023632978,0.5744869451125773,0.9306220095693781,0.6419333906697959,0.6419333906697959
sma_cross,trend,10,100,33.29047897748629,33.08662784611379,0.5346081454485903,0.7832568694181519,0.235130834366644,7.779686411835374,16.582278510844542,133290.4789774863,13.0,30.76923076923077,1.6376348325734138,2560.806075191254,7.779686411835374,1.0061611335044662,-4.803111704861294,22.04653459186282,-0.0966494205272351,-0.13428026021212944,-0.13380819945145841,-2.9500070978814574,16.649171581575967,95196.8882951387,8.0,25.0,0.7519566357365345,-600.3889631076613,-2.9500070978814574,-0.21786243478982317,0.6794258373205742,0.28138080291026063,0.2813808029102607
sma_cross,trend,10,150,23.456665071858936,39.50064855340061,0.4128151765396426,0.6004652705292678,0.14297186621876554,5.647481440531266,16.66906022944909,123456.66507185894,9.0,22.22222222222222,1.4562757585271988,2606.296119095434,5.647481440531266,0.593829871936104,-9.291995887037105,27.313352614937493,-0.2526969380779879,-0.3452357763551697,-0.21089272975333784,-5.760187491679636,17.450497962795826,90708.0041129629,8.0,25.0,0.5502586929230469,-1161.4994858796397,-5.760187491679636,-0.3401997557032004,0.5322158693608743,0.14229523493180476,0.14229523493180474
sma_cross,trend,10,200,-5.100609027555314,51.214198952997315,-0.028127367826556685,-0.040036647459785205,-0.026470044267393175,-1.3556421134049201,13.953533896671614,94899.39097244469,11.0,9.090909090909092,0.9081958953443522,-463.6917297777509,-1.3556421134049201,-0.09959365042957097,7.3627998405061374,21.14503322684218,0.32730025288761,0.4619018208749062,0.2088702078086162,4.416567484210621,18.33813938817314,107362.79984050614,6.0,33.33333333333333,1.626423604422986,1227.1333067510254,4.416567484210621,0.348204694763003,0.055023923444976086,0.45215690740411946,0.05502392344497606
sma_cross,trend,20,50,53.49964271142563,33.31289062818087,0.7541494740466708,1.1188694641678454,0.3548281285959367,11.820350639718535,16.65166238799341,153499.64271142564,14.0,42.857142857142854,1.8965800228263376,3821.4030508161195,11.820350639718535,1.605974195051326,-1.3229432701270998,23.682908299748217,0.03272342662546596,0.04614396258484418,-0.03407049502329746,-0.8068884093637818,16.42599729389719,98677.0567298729,7.0,42.857142857142854,0.932907670142726,-188.99189573244212,-0.8068884093637818,-0.055860676120642015,0.8086124401913876,0.3202526417355313,0.32025264173553125
sma_cross,trend,20,100,37.06717776957753,30.218897145910915,0.5817946434856412,0.8559207108232852,0.28352022923721176,8.567668646104387,16.45302625734899,137067.17776957754,9.0,33.33333333333333,1.833606195321882,4118.575307730833,8.567668646104387,1.2266224538440278,3.990707811308952,20.565601944709876,0.22706284086652204,0.324578094930736,0.11713982442362551,2.4090510009694865,16.391805516456127,103990.70781130895,6.0,50.0,1.4261596743602336,665.1179685514919,2.4090510009694865,0.1940477026657364,0.7194559939761075,0.41509486581361793,0.4150948658136179
