window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'fast_window': 30, 'slow_window': 50}",1.3869013185501131,-0.44763882257282706,87.34749772398183,-5.117388910016744,19.65429736486557,16.579167199727106,9.0,3.0,25.752457909025985,-7.3826232032715655
1,2018-12-17,2022-10-17,2023-09-29,"{'fast_window': 30, 'slow_window': 50}",0.9108248806099568,-1.5993317467462926,49.06515553325546,-14.661748754095461,29.96674186517425,21.466582377979705,11.0,3.0,15.686395622756976,-20.66408060277829
2,2019-12-02,2023-10-02,2024-09-13,"{'fast_window': 10, 'slow_window': 50}",0.7008925334072377,-0.06073126084898826,31.354723816775948,-1.667722464275008,25.880947907880625,11.74219440987626,9.0,4.0,10.46703028357301,-2.425506980322689
3,2020-11-16,2024-09-16,2025-08-29,"{'fast_window': 10, 'slow_window': 50}",-0.5383999767854896,1.4429800045041494,-21.567784866749818,17.670293776155304,26.363398068723875,16.17437498208013,12.0,3.0,-8.485378992236415,26.81586346222302
