strategy,category,param_window,param_z_entry,param_z_target,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
zscore_ride,mean_reversion,10,1.2,0.0,24.402242980815558,17.087105902508583,0.4241339759231179,0.6255524510429593,0.3428228316984037,5.8578500310285,16.707774134400154,124402.24298081556,79.0,69.62025316455697,1.2760077271952908,308.88915165589356,5.8578500310285,1.4281086054036236,-9.050967205811059,25.26160329319743,-0.25496850338267185,-0.36850089014902393,-0.22199429680075486,-5.607931859132997,16.988919020216684,90949.03279418894,29.0,51.724137931034484,0.802873302983983,-312.1023174417603,-5.607931859132997,-0.3582894997107467,0.17424242424242425,0.11761363636363636,0.11761363636363636
zscore_ride,mean_reversion,10,1.2,0.5,17.490545754797594,19.579375994974413,0.3214397571837302,0.4736102342850741,0.2192073800139807,4.291943714166968,18.2367222603935,117490.5457547976,66.0,65.15151515151516,1.190037826236533,265.00826901208416,4.291943714166968,0.8933147695456191,-12.791521610439288,26.711585889929836,-0.37730786916762044,-0.5386780272787194,-0.2990826667282326,-7.988972340500444,17.851824827080065,87208.47838956071,25.0,44.0,0.6988037375568665,-511.6608644175726,-7.988972340500444,-0.47887540871400086,0.09943181818181818,0.06912878787878787,0.06912878787878787
zscore_ride,mean_reversion,10,1.2,1.0,17.125923382540105,25.398613998101183,0.3095385518381397,0.450756665793325,0.16565721031080294,4.207463540686351,19.361355159605193,117125.9233825401,58.0,65.51724137931035,1.2272361476714633,295.2745410782777,4.207463540686351,0.6742857458214235,2.665280746006567,17.56613548422252,0.1790524524832016,0.2674027218583036,0.09182550801412452,1.6130193146836724,19.299285497077886,102665.28074600657,25.0,60.0,1.0728876188301726,106.61122984026292,1.6130193146836724,0.15172834960771295,0.07386363636363637,0.18541666666666667,0.07386363636363635
zscore_ride,mean_reversion,10,1.2,1.5,50.72680391601511,27.83430658028513,0.6163000001073891,0.9153450782098626,0.40562067225926346,11.290170146965695,20.893778495193068,150726.8039160151,52.0,67.3076923076923,1.5968191571881156,975.5154599233658,11.290170146965695,1.822456175428656,19.445731575960846,12.749912829962174,0.6322364054430092,0.965329782415874,0.8953365544014394,11.41546302209704,20.367310908118288,119445.73157596085,24.0,62.5,1.6707855926075532,810.2388156650352,11.41546302209704,1.5251658450764904,0.20075757575757572,0.2700757575757576,0.20075757575757575
zscore_ride,mean_reversion,10,1.5,0.0,21.525198791900156,15.746017908134524,0.39692908310900515,0.5890732308954145,0.33113430246184206,5.214046656561799,16.03924337953834,121525.19879190015,66.0,66.66666666666666,1.2857357977909791,326.1393756348498,5.214046656561799,1.3670249149646945,-12.350461335974934,25.991448598733292,-0.4450695104563022,-0.6268191088507201,-0.29648845893323483,-7.70616454048082,15.366996417240985,87649.53866402507,24.0,50.0,0.6626161220762605,-514.6025556656218,-7.70616454048082,-0.4751740284524519,0.16287878787878787,0.07083333333333335,0.07083333333333333
zscore_ride,mean_reversion,10,1.5,0.5,17.85155159854806,16.067858718947235,0.33123707977617833,0.4907506114509886,0.27230730042085066,4.37539523130015,17.586628833653048,117851.55159854806,58.0,62.06896551724138,1.234485344174342,307.78537238876015,4.37539523130015,1.1110099927314827,-13.187620619226465,24.716725809110653,-0.4528204545116523,-0.6356483991816813,-0.3335162133681049,-8.243428798712294,16.12849610365177,86812.37938077353,21.0,47.61904761904761,0.6130235797317354,-627.9819342488792,-8.243428798712294,-0.5335504678522376,0.13352272727272727,0.04583333333333333,0.04583333333333334
zscore_ride,mean_reversion,10,1.5,1.0,35.250587474995456,18.260154153790566,0.5180202869542643,0.769031567059155,0.4485548391930128,8.190680510093152,18.492556733487454,135250.58747499547,54.0,66.66666666666666,1.5264819646610044,652.7886569443615,8.190680510093152,1.9304649444965338,1.8818204063891464,15.777424065378865,0.15224883105713152,0.2256121485326742,0.07229264656245443,1.1405917416243971,17.662574730275704,101881.82040638915,21.0,61.904761904761905,1.0629330903680643,89.61049554234,1.1405917416243971,0.11927298135558848,0.20359848484848486,0.1743371212121212,0.1743371212121212
zscore_ride,mean_reversion,10,1.5,1.5,76.00883134186473,19.91004682546188,0.8336933333413603,1.262063933931517,0.7976657367267727,15.881562169296593,20.10027701725892,176008.83134186472,49.0,69.38775510204081,2.019555682586403,1551.2006396298918,15.881562169296593,3.817611882492469,17.871771574182755,12.026586518675686,0.6235861820008407,0.9524195730843643,0.874730615132443,10.520023423424728,18.89336981865932,117871.77157418276,21.0,61.904761904761905,1.7354110067431208,851.0367416277504,10.520023423424728,1.4860219519836553,0.2727272727272727,0.2584280303030303,0.2584280303030303
zscore_ride,mean_reversion,10,2.0,0.0,-4.095761335705975,23.937903098604195,-0.027808132969884873,-0.039895518054255036,-0.045299916010978464,-1.0843849998457111,12.251711848627757,95904.23866429403,34.0,67.64705882352942,0.917606196836858,-120.46356869723422,-1.0843849998457111,-0.17109941997988937,-8.228966355735567,19.189708706145424,-0.3520562185554044,-0.5049883183861852,-0.265239346183731,-5.0898657906742635,12.59153216455787,91771.03364426443,14.0,42.857142857142854,0.6565351458623583,-587.7833111239679,-5.0898657906742635,-0.42882184830144265,0.044034090909090905,0.09905303030303032,0.0440340909090909
zscore_ride,mean_reversion,10,2.0,0.5,-4.306149001263737,22.27060458783242,-0.015330098204117786,-0.02211831448328238,-0.05123364805082201,-1.1410043173320283,13.703867550480947,95693.85099873626,33.0,63.63636363636363,0.9141996560372795,-130.4893636746599,-1.1410043173320283,-0.19335572971451384,-10.878229057692531,16.633008754271838,-0.4673337838586299,-0.6643237261012498,-0.40679224913335116,-6.7661790410049605,13.145622249167033,89121.77094230747,12.0,41.66666666666667,0.47285861616698643,-906.5190881410466,-6.7661790410049605,-0.6540145092449787,0.035037878787878785,0.04469696969696969,0.035037878787878785
