strategy,category,param_adx_threshold,param_fast_window,param_slow_window,param_z_window,param_z_entry,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
regime_switcher,hybrid,20.0,10,50,15,1.2,-11.539655309975148,14.637816126941882,-0.4094364505798297,-0.5685316253494374,-0.2149373217780296,-3.1462129950041384,7.178472025926441,88460.34469002485,11.0,54.54545454545454,0.3610786600177613,-1049.0595736341077,-3.1462129950041384,-0.7883454205122606,-1.3107190580981551,9.413591371296903,-0.09844560295887779,-0.14429008896066453,-0.08492118184687399,-0.7994133046740681,6.204470445528472,98689.28094190184,5.0,40.0,0.7233797152098319,-262.14381161963024,-0.7994133046740681,-0.1392368763843611,0.563131313131313,0.3685823857321293,0.3685823857321293
regime_switcher,hybrid,20.0,10,50,15,1.5,-13.24739910537048,14.637816126941882,-0.49147562444572124,-0.6741334641804493,-0.24848035013705644,-3.63720967646437,7.034833475712531,86752.60089462952,10.0,50.0,0.24683534931534712,-1324.7399105370516,-3.63720967646437,-0.9050119902099162,0.053240506881789766,9.41359137129706,0.03574543819379318,0.05332528254044741,0.0034401959591961067,0.03238459899705948,6.11260406565155,100053.24050688179,5.0,40.0,1.01108295110133,10.648101376355385,0.03238459899705948,0.005655706178634986,0.4147727272727273,0.45072105223359693,0.4147727272727273
regime_switcher,hybrid,20.0,10,50,15,2.0,-12.817064298046695,14.637816126941882,-0.48021408315803993,-0.6604224195440297,-0.23998214696877254,-3.5128145410776357,6.944395984777822,87182.9357019533,8.0,50.0,0.2517161146961072,-1602.1330372558396,-3.5128145410776357,-0.8756131506841399,-0.7083344940495153,7.188992135405647,-0.05794521490869075,-0.09031349537046149,-0.060022765100744946,-0.43150318625455597,5.1700905630979666,99291.66550595048,4.0,25.0,0.7437748261794211,-177.08362351237804,-0.43150318625455597,-0.09853043106849173,0.3883003566988272,0.3927559501328656,0.3883003566988272
regime_switcher,hybrid,20.0,10,50,20,1.2,-12.167892787023229,14.637816126941882,-0.4400645646814283,-0.6090693295001945,-0.22722086529814325,-3.3260172464388504,7.11185518657276,87832.10721297677,10.0,50.0,0.31048403627743537,-1216.7892787023213,-3.3260172464388504,-0.8312642187537392,0.053240506881789766,9.41359137129706,0.03574543819379318,0.05332528254044741,0.0034401959591961067,0.03238459899705948,6.11260406565155,100053.24050688179,5.0,40.0,1.01108295110133,10.648101376355385,0.03238459899705948,0.005655706178634986,0.5115740740740741,0.45072105223359693,0.45072105223359693
regime_switcher,hybrid,20.0,10,50,20,1.5,-13.775621869257884,14.637816126941882,-0.5169942444509081,-0.7071476630607807,-0.2589543446386664,-3.790526082093537,7.000233102055526,86224.37813074212,8.0,50.0,0.1944036368753856,-1721.9527336572332,-3.790526082093537,-0.9410981631271436,0.053240506881789766,9.41359137129706,0.03574543819379318,0.05332528254044741,0.0034401959591961067,0.03238459899705948,6.11260406565155,100053.24050688179,5.0,40.0,1.01108295110133,10.648101376355385,0.03238459899705948,0.005655706178634986,0.3190349513351972,0.45072105223359693,0.3190349513351972
regime_switcher,hybrid,20.0,10,50,20,2.0,-12.093339065734748,14.637816126941882,-0.44878883858228336,-0.6179052230760465,-0.2257597719720358,-3.304630030986988,6.949643189949198,87906.66093426525,8.0,50.0,0.28465603302521447,-1511.667383216844,-3.304630030986988,-0.8261709916874926,-2.5062164179229582,6.995734957989019,-0.2858371491148978,-0.42979634493515617,-0.2190171783199762,-1.5321861307731721,4.971781800352162,97493.78358207704,4.0,25.0,0.07614010225743292,-626.5541044807387,-1.5321861307731721,-0.3582491951129307,0.4481547015510942,0.24608802161832213,0.24608802161832216
regime_switcher,hybrid,20.0,10,50,30,1.2,-9.304583461487026,14.637816126941882,-0.3246851232173456,-0.4538057782262807,-0.17175243406724228,-2.5140805492310014,7.07218252882586,90695.41653851297,9.0,55.55555555555556,0.4620074851393351,-1033.8426068318927,-2.5140805492310014,-0.6356538011405483,-4.009347739408302,10.29160003634697,-0.3811817315088087,-0.5429386068705878,-0.2388875513146924,-2.458535131793127,6.051337307451086,95990.6522605917,4.0,25.0,0.283196124519788,-1002.3369348520738,-2.458535131793127,-0.38957477216841296,0.6166840714810684,0.16676489512588297,0.166764895125883
regime_switcher,hybrid,20.0,10,50,30,1.5,-13.897292258371715,14.637816126941882,-0.535146774667428,-0.728353113373984,-0.2613736342552283,-3.82593919865859,6.850849058296972,86102.70774162828,7.0,42.857142857142854,0.1879077040288177,-1985.3274654816723,-3.82593919865859,-0.9494102219792758,-0.9153305986895139,8.445942848054822,-0.0657888501575522,-0.09668100957698454,-0.06604691850533853,-0.5578284989862237,5.882382351207701,99084.66940131049,4.0,25.0,0.7498956834158215,-228.83264967237994,-0.5578284989862237,-0.10837518263580519,0.2692031103894364,0.3512310919690384,0.2692031103894364
regime_switcher,hybrid,20.0,10,50,30,2.0,-13.00058902016627,14.637816126941882,-0.4966866154279609,-0.6770628393342278,-0.2436025713370409,-3.565809647281848,6.839172795312833,86999.41097983373,7.0,42.857142857142854,0.19829836238536022,-1857.2270028808944,-3.565809647281848,-0.8881508626302399,1.5048005111334932,6.722334255318629,0.1947330699572152,0.3073365701042463,0.13577743783081583,0.9127413214294888,5.414234004868576,101504.8005111335,3.0,33.33333333333333,2.2138775490949683,501.60017037783234,0.9127413214294888,0.2238508907739768,0.3262481121985779,0.44686876166825107,0.32624811219857797
regime_switcher,hybrid,20.0,10,80,15,1.2,-10.130029294764316,13.72625734952626,-0.42023821050128923,-0.5752297174374071,-0.20006773168120937,-2.746181172392248,6.172561109727966,89869.97070523568,11.0,45.45454545454545,0.44948605183212975,-920.9117540694796,-2.746181172392248,-0.7380037425215503,-3.918515651900234,7.600949076969932,-0.38485434032470145,-0.5524233713651582,-0.31606535044653644,-2.402396633738779,5.87189712420531,96081.48434809977,6.0,33.33333333333333,0.3194251273077066,-653.0859419833716,-2.402396633738779,-0.5155297861122264,0.6016414141414141,0.25868790279592474,0.2586879027959248
