window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'adx_threshold': 25.0, 'fast_window': 10, 'slow_window': 50, 'z_window': 30, 'z_entry': 1.2}",0.979223153299494,-0.6290723771835007,11.6761530631481,-1.9449108135660937,4.550990463980242,5.407980139039181,6.0,1.0,4.1131442553300035,-2.826822750055935
1,2018-12-17,2022-10-17,2023-09-29,"{'adx_threshold': 30.0, 'fast_window': 10, 'slow_window': 50, 'z_window': 30, 'z_entry': 1.2}",1.0239049518541044,-1.6592279721304537,9.26533685739321,-5.635571787540364,4.481053456470152,8.692932953050136,5.0,3.0,3.2870989069006207,-8.120179821747076
2,2019-12-02,2023-10-02,2024-09-13,"{'adx_threshold': 25.0, 'fast_window': 10, 'slow_window': 80, 'z_window': 30, 'z_entry': 1.2}",0.42341233206535994,-1.5444403870817363,4.840020266619657,-3.545800593098364,8.77692415006358,4.680597981312928,6.0,2.0,1.7401538719069798,-5.134376525815765
3,2020-11-16,2024-09-16,2025-08-29,"{'adx_threshold': 20.0, 'fast_window': 10, 'slow_window': 50, 'z_window': 20, 'z_entry': 1.2}",0.46761431924357416,-1.592960826034742,6.6103610587771255,-4.58130371320236,5.926866536535114,5.298847158870402,6.0,3.0,2.3638911142940477,-6.61763287367455
