window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'window': 40, 'threshold': 2.0}",2.4148701601288662,-0.21218537302730162,246.18986863466702,-2.822657668422311,12.448176113650455,11.945145132404477,15.0,5.0,57.34383790111579,-4.094188246394658
1,2018-12-17,2022-10-17,2023-09-29,"{'window': 40, 'threshold': 2.0}",2.0780292618505003,0.5271984400809725,188.5409431978805,5.1771784715147655,13.2460461893807,11.577692185614252,16.0,4.0,47.223018637783845,7.647863177778147
2,2019-12-02,2023-10-02,2024-09-13,"{'window': 10, 'threshold': 2.0}",2.4182134214412305,0.24407151371718996,194.25896196205085,1.6633865246497879,9.658336204565321,11.083010164661488,31.0,8.0,48.28128467148745,2.4378077823952404
3,2020-11-16,2024-09-16,2025-08-29,"{'window': 10, 'threshold': 2.0}",1.7205943166734075,1.362063946633411,95.94602198695704,14.061375588387717,11.735567929806301,7.436651171069874,30.0,8.0,27.82912160871256,21.177604574177966
