window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'don_window': 30, 'pullback': 35.0}",inf,1.7214774970461058,0.0,5.780709158745129,0.0,2.421821198833385,0.0,2.0,0.0,8.55090595040624
1,2018-12-17,2022-10-17,2023-09-29,"{'don_window': 30, 'pullback': 40.0}",0.9061288445816462,-1.7545265311884357,13.431401506850627,-2.134504030793047,6.468665933995588,2.1345040307930385,9.0,2.0,4.7074670437440735,-3.101017205780221
2,2019-12-02,2023-10-02,2024-09-13,"{'don_window': 30, 'pullback': 35.0}",0.8249422662133967,0.6627689977700403,5.544471761283785,2.2691510284949032,2.639740091534437,1.8573252414619934,3.0,2.0,1.9891457234118448,3.3301809867859022
3,2020-11-16,2024-09-16,2025-08-29,"{'don_window': 30, 'pullback': 35.0}",0.8077782379942183,inf,7.939435227774462,0.0,3.6049946635468455,0.0,5.0,0.0,2.8278491118514326,0.0
