strategy,category,param_window,param_alpha,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
bollinger_reversion,mean_reversion,10,1.5,21.525198791900156,15.746017908134524,0.39692908310900515,0.5890732308954145,0.33113430246184206,5.214046656561799,16.03924337953834,121525.19879190015,66.0,66.66666666666666,1.2857357977909791,326.1393756348498,5.214046656561799,1.3670249149646945,-12.350461335974934,25.991448598733292,-0.4450695104563022,-0.6268191088507201,-0.29648845893323483,-7.70616454048082,15.366996417240985,87649.53866402507,24.0,50.0,0.6626161220762605,-514.6025556656218,-7.70616454048082,-0.4751740284524519,0.19227994227994227,0.08644480519480519,0.08644480519480519
bollinger_reversion,mean_reversion,10,2.0,-4.095761335705975,23.937903098604195,-0.027808132969884873,-0.039895518054255036,-0.045299916010978464,-1.0843849998457111,12.251711848627757,95904.23866429403,34.0,67.64705882352942,0.917606196836858,-120.46356869723422,-1.0843849998457111,-0.17109941997988937,-8.228966355735567,19.189708706145424,-0.3520562185554044,-0.5049883183861852,-0.265239346183731,-5.0898657906742635,12.59153216455787,91771.03364426443,14.0,42.857142857142854,0.6565351458623583,-587.7833111239679,-5.0898657906742635,-0.42882184830144265,0.06732503607503607,0.12297077922077924,0.06732503607503607
bollinger_reversion,mean_reversion,10,2.5,8.644629516016385,4.19077066522624,0.5403860897034489,0.9467991690005738,0.5214242048007952,2.1851692616180918,4.159163586873223,108644.62951601639,5.0,80.0,6.393069730400697,1728.9259032032762,2.1851692616180918,2.0627779963592214,1.4087066509799333,3.326337066855989,0.23470376247503624,0.4039544765717507,0.25692357586890746,0.8546144137619338,3.956552866254099,101408.70665097993,1.0,100.0,inf,1408.7066509799279,0.8546144137619338,0.4235008727817908,0.2541005564247654,0.09683191942358126,0.09683191942358127
bollinger_reversion,mean_reversion,10,3.0,0.0,0.0,,,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
bollinger_reversion,mean_reversion,20,1.5,54.11798861542625,12.276810463840471,0.7983639303673772,1.2209245501228008,0.9723710016656972,11.937614487984472,15.658680347771433,154117.98861542623,37.0,72.97297297297297,2.5429497383566684,1462.64834095747,11.937614487984472,4.408147276918771,21.089800891105043,9.437420305761957,0.8312869472101483,1.3062150412558238,1.3081824379320435,12.345867503381047,15.43193418713451,121089.80089110504,15.0,73.33333333333333,2.256915169704739,1405.9867260736683,12.345867503381047,2.2346997598728118,0.3931277056277056,0.4845779220779221,0.3931277056277056
bollinger_reversion,mean_reversion,20,2.0,58.76517789824922,12.276810463840327,0.9546341556303879,1.5334375519117975,1.0432648197794274,12.807964456024568,13.588687458845463,158765.17789824924,27.0,77.77777777777779,3.7651571757042657,2176.488070305526,12.807964456024568,4.786681204481738,18.13535624855751,9.437420305761979,0.8687532040836725,1.3976141765363694,1.1306377875536742,10.670304014720845,12.577152630606465,118135.35624855751,10.0,70.0,2.994076255952224,1813.53562485575,10.670304014720845,1.9216433793337615,0.533910533910534,0.46875000000000006,0.4687500000000001
bollinger_reversion,mean_reversion,20,2.5,32.35349912812159,7.575633860245434,0.9711627175159769,1.6018081324452254,1.0007929724103186,7.581641128887284,7.84074982918387,132353.4991281216,10.0,80.0,10.20890753228609,3235.34991281216,7.581641128887284,4.2707316278711245,17.018185229733323,3.326337066855989,1.4606561389770265,3.037602476236872,3.0160661213695543,10.032452535600122,6.698175710538988,117018.18522973332,4.0,100.0,inf,4254.546307433333,10.032452535600122,5.116193845568,0.5545183982683983,0.5080948561934504,0.5080948561934504
bollinger_reversion,mean_reversion,20,3.0,0.0,0.0,,,,0.0,0.0,100000.0,0.0,,,,0.0,,1.8019849942959556,3.326337066855989,0.2904697816313206,0.5073848624344156,0.3284006148203445,1.0923711378552081,4.015514027129943,101801.98499429596,1.0,100.0,inf,1801.9849942959618,1.0923711378552081,0.5417325298302281,0.0,0.1128743182677796,0.0
bollinger_reversion,mean_reversion,30,1.5,154.4289286504864,10.074458538704267,1.7207291283334742,2.8493807921029717,2.7362859267631583,27.566599119215418,14.786070914577213,254428.9286504864,33.0,87.87878787878788,17.553341005600263,4679.664504560195,27.566599119215418,15.328757179077972,28.378373846331666,13.677328034816306,1.0935633230386554,1.7109368733645913,1.1999707913073283,16.412394144908426,14.912725035133894,128378.37384633167,13.0,69.23076923076923,5.434226603378818,2182.9518343332065,16.412394144908426,2.074847790013746,0.8296356421356421,0.564935064935065,0.5649350649350651
bollinger_reversion,mean_reversion,30,2.0,83.34507412010691,10.0744585387043,1.3514746016455588,2.216419895134734,1.6995340198386433,17.121885017981864,12.249275661358656,183345.07412010693,20.0,95.0,28.1191630848143,4167.253706005341,17.121885017981864,8.27290854390931,24.566199292511023,9.437420305761968,1.26305813757277,2.143234345818998,1.5149350250549591,14.297078567363686,11.063351864995749,124566.19929251102,7.0,85.71428571428571,24.76528601488162,3509.4570417872924,14.297078567363686,2.603062966000598,0.7362463924963923,0.5982934118315913,0.5982934118315913
