strategy,category,param_clv_floor,param_trend_window,param_exit_window,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
clv_dip,mean_reversion,0.1,100,5,-18.221082491668568,18.63819464628055,-0.7894106350457113,-1.0232561271500018,-0.2741223802403501,-5.109146279821375,6.38416176529521,81778.91750833143,26.0,53.84615384615385,0.3509105432633667,-700.810865064177,-5.109146279821375,-0.9776205709550726,0.32040614687556807,8.717492962533257,0.06298752233043861,0.08750528119339339,0.022344912768650645,0.1947916198091315,5.419337765693226,100320.40614687557,10.0,60.0,1.0510174759373654,32.04061468755776,0.1947916198091315,0.03675439122837672,0.36363636363636365,0.5277777777777778,0.36363636363636365
clv_dip,mean_reversion,0.1,100,10,-12.778857012541309,20.594395145040544,-0.38574569970975153,-0.5378502046748573,-0.17003616999012924,-3.5017920737260066,8.339475241631899,87221.14298745869,22.0,45.45454545454545,0.5979803186761287,-580.8571369336967,-3.5017920737260066,-0.6205016909961864,5.5360475018491995,9.478055035603528,0.49853882104165714,0.7350888617317103,0.35156565418761665,3.3321586190181884,7.076196435906243,105536.0475018492,9.0,66.66666666666666,1.856477138272056,615.1163890943542,3.3321586190181884,0.5840910905300186,0.7390572390572389,0.8672306916522373,0.7390572390572389
clv_dip,mean_reversion,0.1,100,20,-23.67505321603044,25.177009188366796,-0.606915248130205,-0.8165312823185629,-0.27014248128238816,-6.801379733414892,10.666140693150053,76324.94678396956,19.0,42.10526315789473,0.4060052885393591,-1246.0554324226532,-6.801379733414892,-0.9403441464750967,2.4054448360394014,8.59192740613991,0.22150864031704984,0.3223074540812842,0.16951899908353069,1.4564949340871935,7.951385950620001,102405.4448360394,8.0,62.5,1.6159986410592162,300.68060450492544,1.4564949340871935,0.2799656843376537,0.3282828282828283,0.6798550113408452,0.3282828282828283
clv_dip,mean_reversion,0.1,150,5,-23.950168760866728,25.182345232852487,-0.934107389018029,-1.1707179806294552,-0.27356786024965385,-6.889080301419526,7.3501600545137755,76049.83123913327,28.0,57.14285714285714,0.2951016036024796,-855.3631700309538,-6.889080301419526,-0.9510698284614778,-2.7665272618494927,8.717492962533191,-0.3235339561316986,-0.4209183002484262,-0.19411632644868915,-1.6922077097292432,4.903085905679863,97233.4727381505,8.0,50.0,0.5455076601381108,-345.8159077311837,-1.6922077097292432,-0.3173535411774598,0.23148148148148148,0.24167603393179546,0.23148148148148148
clv_dip,mean_reversion,0.1,150,10,-19.38583217415823,21.685964906508147,-0.5599021625174789,-0.7538694540705247,-0.2519312285535398,-5.463371781265547,9.26596173065032,80614.16782584177,24.0,50.0,0.4982298273230045,-807.7430072565937,-5.463371781265547,-0.8939344990058696,2.2886249347865815,9.478055035603406,0.2391202374848412,0.3410074259417918,0.1462401607242105,1.3860722917595547,6.691584144425773,102288.62493478658,7.0,57.14285714285714,1.3653121165750919,326.94641925522626,1.3860722917595547,0.2414656726711948,0.4671717171717172,0.5732670552177924,0.46717171717171724
clv_dip,mean_reversion,0.1,150,20,-19.68401068265643,22.817205787950424,-0.4798795345859307,-0.6511788982712241,-0.2434418182838166,-5.554662065174676,10.711235382981409,80315.98931734357,20.0,50.0,0.4984856333245915,-984.2005341328216,-5.554662065174676,-0.8626827870856735,0.08983021747189923,8.591927406140055,0.043797161117932075,0.062357744294659685,0.006359121037189386,0.05463710631838925,7.273255079060858,100089.8302174719,7.0,57.14285714285714,1.0235363925791918,12.83288821027054,0.05463710631838925,0.010455188134818714,0.4991582491582492,0.41128742045109434,0.41128742045109434
clv_dip,mean_reversion,0.1,200,5,-20.764925153611316,22.233413460143158,-0.8031458939980732,-1.0156072907114346,-0.2648135886595416,-5.887710006531865,7.228169525508013,79235.07484638868,28.0,60.71428571428571,0.3385377046613758,-741.604469771834,-5.887710006531865,-0.9339512887139739,-2.7665272618494927,8.717492962533191,-0.3235339561316986,-0.4209183002484262,-0.19411632644868915,-1.6922077097292432,4.903085905679863,97233.4727381505,8.0,50.0,0.5455076601381108,-345.8159077311837,-1.6922077097292432,-0.3173535411774598,0.36784511784511786,0.24167603393179546,0.2416760339317955
clv_dip,mean_reversion,0.1,200,10,-17.331659146376417,20.5943951450406,-0.4964234197553774,-0.6724330663176323,-0.23507156704893226,-4.841156739169616,9.150973925257716,82668.34085362358,24.0,54.166666666666664,0.5349189103174752,-722.1524644323521,-4.841156739169616,-0.8415716521079818,2.2886249347865815,9.478055035603406,0.2391202374848412,0.3410074259417918,0.1462401607242105,1.3860722917595547,6.691584144425773,102288.62493478658,7.0,57.14285714285714,1.3653121165750919,326.94641925522626,1.3860722917595547,0.2414656726711948,0.5808080808080808,0.5732670552177924,0.5732670552177924
clv_dip,mean_reversion,0.1,200,20,-17.832591916028907,21.038012443268883,-0.4295028754224987,-0.5854638360745957,-0.2372765785330932,-4.991827611675481,10.609713170162044,82167.4080839711,19.0,52.63157894736842,0.5288457828370167,-938.5574692646794,-4.991827611675481,-0.8476367225333802,0.08983021747189923,8.591927406140055,0.043797161117932075,0.062357744294659685,0.006359121037189386,0.05463710631838925,7.273255079060858,100089.8302174719,7.0,57.14285714285714,1.0235363925791918,12.83288821027054,0.05463710631838925,0.010455188134818714,0.5993265993265993,0.41128742045109434,0.41128742045109434
clv_dip,mean_reversion,0.2,100,5,-30.17057322652577,30.380302222370894,-0.852141449780378,-1.1218249840915144,-0.29419399863655993,-8.937702590586461,10.354779019118041,69829.42677347423,58.0,55.172413793103445,0.4831123382362098,-520.1822970090655,-8.937702590586461,-0.9930965467588178,-4.59734418218414,13.803376817639524,-0.2933637020012483,-0.4173063381923685,-0.20447526655329296,-2.822449154122386,8.52358736166899,95402.65581781586,27.0,55.55555555555556,0.7466134794744766,-170.27200674756,-2.822449154122386,-0.3330593841580222,0.1851851851851852,0.22558922558922553,0.1851851851851852
clv_dip,mean_reversion,0.2,100,10,-25.458940707814165,27.092007881301726,-0.5634198559054786,-0.754691549310865,-0.2721931175717885,-7.374258086490981,12.258062896181954,74541.05929218583,46.0,52.17391304347826,0.5773541783126608,-553.4552327785682,-7.374258086490981,-0.9397214418125626,6.96281943985814,10.457425996310011,0.4658100828799831,0.6984393184853115,0.39969207644239935,4.179750310707875,9.823779532130661,106962.81943985814,23.0,60.86956521739131,1.574021134449861,302.7312799938318,4.179750310707875,0.6658253610702125,0.3771043771043771,0.8594276094276093,0.37710437710437705
clv_dip,mean_reversion,0.2,100,20,-24.156038283822696,30.91317055308468,-0.4358246170162412,-0.5936149312219532,-0.22498049342495177,-6.9548603643626805,14.216374594648693,75843.9617161773,32.0,43.75,0.5891437280713536,-754.8761963694594,-6.9548603643626805,-0.7814157477746092,8.051309958033526,9.523304412447631,0.4919467193952331,0.7253759727413902,0.5064846224299158,4.823407239623689,10.74720703990344,108051.30995803353,20.0,60.0,1.7311451900468464,402.56549790167753,4.823407239623689,0.8454323845313498,0.4646464646464646,0.9099326599326599,0.46464646464646464
clv_dip,mean_reversion,0.2,150,5,-30.704844942077614,30.912969281038315,-0.7819340810889923,-1.029971166896802,-0.2950174429951563,-9.11986515267974,11.395140974608147,69295.15505792238,67.0,56.71641791044776,0.5058303316654608,-458.2812677922024,-9.11986515267974,-0.9932674102876179,-9.580673789984417,13.803376817639613,-0.7151699381561692,-0.9825203512228126,-0.4305288109100393,-5.942751407841584,8.107285851991511,90419.32621001558,23.0,47.82608695652174,0.47377391159423243,-416.5510343471486,-5.942751407841584,-0.6940818842053983,0.20538720538720537,0.11447811447811446,0.11447811447811447
clv_dip,mean_reversion,0.2,150,10,-30.723837577406872,34.35483982040773,-0.6268947689001073,-0.8315622940517244,-0.26564990307719133,-9.126359868523748,13.75124666944359,69276.16242259313,54.0,57.407407407407405,0.5620229396492532,-568.9599551371637,-9.126359868523748,-0.8943088583156792,2.7475837577682394,10.577942848801758,0.22050916414603725,0.32441815315525285,0.15717290797577668,1.6625660379477436,9.532255216225705,102747.58375776824,21.0,52.38095238095239,1.2129801590139602,130.83732179848823,1.6625660379477436,0.2597465118730036,0.2895622895622896,0.6346801346801348,0.2895622895622896
clv_dip,mean_reversion,0.2,150,20,-20.709376179520465,32.64289586221941,-0.3280272368237051,-0.44884894441197665,-0.17984044221239978,-5.8705128269548545,15.00508595159479,79290.62382047954,37.0,51.35135135135135,0.6563313694174128,-559.7128697167691,-5.8705128269548545,-0.6344221501343362,4.072321289147774,10.972109130993847,0.2826020343077508,0.40937047484403033,0.2240167801589631,2.457936559078,10.561949808949556,104072.32128914777,19.0,52.63157894736842,1.3493112299915757,214.33269942882907,2.457936559078,0.3711520948733861,0.6144781144781145,0.7348484848484848,0.6144781144781145
clv_dip,mean_reversion,0.2,200,5,-22.562177931826735,29.431066560232633,-0.5376360957502251,-0.7163997946647138,-0.21912175603542405,-6.448986986673622,11.223054081030567,77437.82206817326,72.0,59.72222222222222,0.6209476811200874,-313.36358238648234,-6.448986986673622,-0.7666109512426856,-13.37969818963397,17.109694878607794,-0.9974102044753488,-1.3470765682545751,-0.4890200770345229,-8.366984307573965,8.40584119858756,86620.30181036603,24.0,45.83333333333333,0.3919813501133179,-557.4874245680826,-8.366984307573965,-0.781995136942072,0.5505050505050506,0.03703703703703704,0.03703703703703709
clv_dip,mean_reversion,0.2,200,10,-22.842790035482395,33.054388951018495,-0.4327171056597956,-0.5785293941707416,-0.1977797319288935,-6.537488185805818,13.508490379326796,77157.2099645176,56.0,60.71428571428571,0.6688227490617498,-407.9069649193292,-6.537488185805818,-0.6910667769212702,-1.2448535521487212,14.007981656498869,-0.0288080009935393,-0.04170168578990449,-0.054193588415318406,-0.7591427924216299,9.806337418748809,98755.14644785128,22.0,50.0,0.9263099106687844,-56.58425237039614,-0.7591427924216299,-0.08886744590868188,0.5681818181818182,0.32323232323232326,0.3232323232323232
