window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'clv_floor': 0.3, 'trend_window': 100, 'exit_window': 10}",0.11761332154921024,-0.9451993088937725,1.7289848639722623,-8.323980896291934,19.81671037154593,11.736026209377293,40.0,15.0,0.6276474246189379,-11.916737950889111
1,2018-12-17,2022-10-17,2023-09-29,"{'clv_floor': 0.2, 'trend_window': 200, 'exit_window': 20}",0.7939456403371076,-1.1083954064963786,29.474640513720125,-7.8671202117492065,10.95150663233595,14.92189370598842,26.0,6.0,9.887279235943058,-11.275127634617576
2,2019-12-02,2023-10-02,2024-09-13,"{'clv_floor': 0.3, 'trend_window': 200, 'exit_window': 20}",0.15254336060550866,0.8703579813538225,3.0795378862598883,8.263898248755126,15.434929917320527,11.029457051571312,33.0,16.0,1.113221869923553,12.291309005715823
3,2020-11-16,2024-09-16,2025-08-29,"{'clv_floor': 0.2, 'trend_window': 200, 'exit_window': 20}",0.3417083711078068,-1.3136099831737844,9.146763279983688,-8.791009394677284,16.08433491294239,11.240761406223786,29.0,5.0,3.246173391681917,-12.571109265795254
