strategy,category,param_window,param_oversold,param_exit_level,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
williams_r,mean_reversion,10,-90.0,-50.0,-15.03522534665832,23.63613445579249,-0.359511265308286,-0.4824783342787434,-0.17595719066119705,-4.158947816931569,10.327383697229818,84964.77465334168,29.0,51.724137931034484,0.6852618423573803,-518.4560464364936,-4.158947816931569,-0.6361118555480907,0.9413704960278846,11.27534756383305,0.10940460867366981,0.161676526398035,0.050696079336090896,0.5716159146380795,8.508372056785293,100941.37049602788,17.0,52.94117647058824,1.0675648514847431,55.37473506046604,0.5716159146380795,0.08348926635729055,0.3068181818181818,0.648989898989899,0.3068181818181819
williams_r,mean_reversion,10,-90.0,-40.0,-15.858531233751783,19.87536364856958,-0.3472972118666523,-0.4622526704771582,-0.2214774297467559,-4.4019444561672945,11.161318263201474,84141.46876624822,28.0,50.0,0.6767694528710299,-566.3761154911356,-4.4019444561672945,-0.7978989222113234,2.9984871638184996,11.266010524175663,0.23339382208925916,0.3478601666894763,0.16097224412550654,1.8135149964181307,9.716789564569638,102998.4871638185,16.0,56.25,1.2156534429549648,187.40544773865633,1.8135149964181307,0.2661534140576262,0.27777777777777773,0.8036616161616162,0.2777777777777778
williams_r,mean_reversion,10,-90.0,-30.0,-8.255660718831233,16.70065640388685,-0.1394691573346859,-0.18813314530334369,-0.13301181511367594,-2.2213846218708255,11.417423010353499,91744.33928116877,28.0,53.57142857142857,0.8268322738310142,-294.8450256725441,-2.2213846218708255,-0.49433151123987207,-2.1788965330522623,14.072360090217806,-0.06897802900914396,-0.09992403248130405,-0.0945974380024955,-1.3312092111831708,10.876568227926118,97821.10346694774,15.0,53.333333333333336,0.8791780150658922,-145.25976887015054,-1.3312092111831708,-0.15483518891524742,0.6603535353535352,0.5037878787878788,0.5037878787878787
williams_r,mean_reversion,10,-80.0,-50.0,-16.971861575811882,33.50864902378061,-0.2955502339901586,-0.41078847226085896,-0.14125763716084977,-4.733352585551465,13.377357046330129,83028.13842418812,44.0,52.27272727272727,0.7698672546531163,-385.72412672299697,-4.733352585551465,-0.5064919676041607,3.9796373438536827,9.710192155044373,0.2920051924708618,0.4399505170207216,0.24741207172083368,2.402418757886915,9.753564988150284,103979.63734385368,25.0,60.0,1.2414077963239447,159.18549375414705,2.402418757886915,0.40984125548805855,0.33712121212121215,0.894570707070707,0.33712121212121215
williams_r,mean_reversion,10,-80.0,-40.0,-23.88617534299176,37.61276572658265,-0.4278504839616308,-0.58024627197614,-0.1826151206289553,-6.868659750348527,14.252397595272944,76113.82465700824,39.0,51.28205128205128,0.6984662454399455,-612.4660344356862,-6.868659750348527,-0.6350550107542428,8.620603527777872,9.983419167832452,0.5277318519225017,0.794361454210891,0.5167604100161673,5.159035782532362,10.59227820436212,108620.60352777787,22.0,63.63636363636363,1.5301612513439746,391.8456148989934,5.159035782532362,0.8634920945275237,0.13888888888888892,0.9621212121212122,0.1388888888888889
williams_r,mean_reversion,10,-80.0,-30.0,-18.28318773656922,35.211756149654505,-0.286753236807847,-0.39062402174372746,-0.14563145734632182,-5.127939363797496,14.622026164377822,81716.81226343078,38.0,57.89473684210527,0.7647616019253728,-481.1365193834001,-5.127939363797496,-0.5192353275100314,1.7785674457922576,12.830332667915501,0.15065379611938193,0.22233382621060008,0.08403711369073327,1.078224125103544,11.477885229833886,101778.56744579226,19.0,57.89473684210527,1.087048055617381,93.6088129364341,1.078224125103544,0.13862208345071814,0.3181818181818182,0.6994949494949494,0.3181818181818181
williams_r,mean_reversion,10,-70.0,-50.0,-27.412719082583614,39.66955410469062,-0.49405395894727755,-0.6752529969070715,-0.20200492986342541,-8.013445494631387,14.712148217959179,72587.28091741638,57.0,56.14035087719298,0.6843575812987853,-480.92489618567765,-8.013445494631387,-0.6910266500661845,0.003487142961486825,14.458074016277333,0.05366273024677989,0.0798120961957832,0.00014672291847430517,0.002121330815185729,10.729378935071546,100003.48714296149,31.0,61.29032258064516,1.0001492361157294,0.11248848262835054,0.002121330815185729,0.00024119000619037467,0.10101010101010101,0.5997474747474748,0.101010101010101
williams_r,mean_reversion,10,-70.0,-40.0,-27.935633035992158,36.87166905547986,-0.470515875863084,-0.6359145096885411,-0.22203154704396952,-8.186673722481451,15.570043328900276,72064.36696400784,50.0,54.0,0.6857382090029511,-558.712660719842,-8.186673722481451,-0.7576449277074526,5.950451739011128,14.77377269858552,0.3638190894808771,0.5442255892670711,0.24224012860423902,3.5788005984751514,11.466377754392031,105950.45173901113,28.0,67.85714285714286,1.2522790080581054,212.51613353611265,3.5788005984751514,0.40277130699193986,0.09974747474747474,0.8914141414141415,0.0997474747474747
williams_r,mean_reversion,10,-70.0,-30.0,-22.947647323327473,33.253774083515516,-0.3419125428844012,-0.4642145610386153,-0.19759019800081312,-6.57061980543614,16.085514229142678,77052.35267667253,47.0,57.446808510638306,0.7427603082165435,-488.2478153899467,-6.57061980543614,-0.6900764787087138,2.8248497409834523,18.0481826677133,0.19881930497986616,0.2945624089939372,0.09469464808939573,1.7090663063722422,12.343257233536646,102824.84974098345,24.0,66.66666666666666,1.100191632488244,117.70207254097795,1.7090663063722422,0.15651712934160814,0.2335858585858586,0.6805555555555556,0.23358585858585856
williams_r,mean_reversion,14,-90.0,-50.0,-18.296733851840063,21.683735187427732,-0.4374284659535503,-0.5798676929431296,-0.23667692787221112,-5.13203982895496,10.724123491805509,81703.26614815994,25.0,52.0,0.565570690504952,-731.8693540736028,-5.13203982895496,-0.8437999124084739,3.4168849987180874,9.848724558540777,0.27137062263848616,0.4061643510653752,0.20966291734917247,2.0649123231121003,9.02839987416054,103416.88499871809,13.0,61.53846153846154,1.3114420611628073,262.8373075936995,2.0649123231121003,0.3469368016546851,0.20580808080808077,0.8800505050505049,0.20580808080808077
