window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'window': 20, 'oversold': -90.0, 'exit_level': -40.0}",2.5416550453667197,2.4259337007215973,170.05655715639233,30.147190392928096,6.502657759861908,5.747171671574536,24.0,6.0,43.70800990917205,46.91793099529682
1,2018-12-17,2022-10-17,2023-09-29,"{'window': 20, 'oversold': -90.0, 'exit_level': -40.0}",2.6144906653066755,1.2945970020635034,169.83759782267813,15.931876975269377,5.899809297312264,8.179397345345818,23.0,6.0,43.66547021046896,24.089829044714417
2,2019-12-02,2023-10-02,2024-09-13,"{'window': 28, 'oversold': -80.0, 'exit_level': -40.0}",2.3623471297416243,0.6834533131196131,185.16822340438043,7.175016369856531,9.803628686602227,10.327104140589594,26.0,4.0,46.59255436018142,10.646223488637307
3,2020-11-16,2024-09-16,2025-08-29,"{'window': 28, 'oversold': -80.0, 'exit_level': -40.0}",1.7158579493598844,1.6919495210358737,109.96279196910892,19.09587378706204,10.327104140589594,10.543923728661165,22.0,4.0,31.093740021340423,29.065213474891372
