window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'window': 28, 'oversold': -90.0, 'exit_level': -30.0}",1.9570228971732124,1.9330947980927378,110.30952635635956,22.203128506694235,8.215816687350397,10.07445853870429,15.0,4.0,31.17271723883657,34.0109215098239
1,2018-12-17,2022-10-17,2023-09-29,"{'window': 28, 'oversold': -90.0, 'exit_level': -30.0}",2.0486511020036837,1.5890254218879376,118.89532432525985,21.8712955075269,10.074458538704334,7.061244620845275,15.0,4.0,33.10253197472319,33.479965131297476
2,2019-12-02,2023-10-02,2024-09-13,"{'window': 28, 'oversold': -80.0, 'exit_level': -30.0}",1.9690162245717158,0.9246693427094036,151.92934429259435,11.20611422370019,12.219072261452435,12.811812446748272,19.0,4.0,40.10922991378909,16.77445582749788
3,2020-11-16,2024-09-16,2025-08-29,"{'window': 28, 'oversold': -80.0, 'exit_level': -30.0}",1.715609610292569,1.941827910543971,130.25865982661338,26.17432324378523,12.811812446748306,9.437420305761945,20.0,5.0,35.58412103200163,40.41633606645336
