strategy,category,param_trend_window,param_exit_window,param_min_body_atr,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
engulfing_trend,hybrid,100,10,0.3,-20.207898811000717,34.06667186033738,-0.4828869947407707,-0.6377630665880667,-0.16777876814771012,-5.715664239619667,10.942718300340255,79792.10118899928,35.0,40.0,0.5221489464907423,-577.3685374571629,-5.715664239619667,-0.5931867631169471,-3.190389809663145,5.960846633982442,-0.21410391264043707,-0.3082733619699918,-0.327659726529106,-1.9531293779726289,7.796542192460744,96809.61019033685,18.0,44.44444444444444,0.7048515581495906,-177.24387831461905,-1.9531293779726289,-0.5352242735914253,0.14983164983164984,0.4478114478114479,0.14983164983164987
engulfing_trend,hybrid,100,10,0.5,-7.947469459125481,26.7011275244349,-0.17586932880093453,-0.2344140791105933,-0.07999123082317834,-2.1358560550461925,9.629111016767837,92052.53054087452,27.0,48.148148148148145,0.746340152434008,-294.350720708352,-2.1358560550461925,-0.2976454627937545,-1.2296561522550038,5.706215916192714,-0.07035562579446017,-0.09882639392687172,-0.13140976928563738,-0.7498525170409165,7.110247858678044,98770.343847745,15.0,46.666666666666664,0.8576036131782346,-81.97707681700041,-0.7498525170409165,-0.21549415064466254,0.3829966329966329,0.5757575757575757,0.3829966329966329
engulfing_trend,hybrid,100,10,0.8,-1.7748325698516563,7.47017164411381,-0.08142763349372556,-0.11710232039004068,-0.06235352695500775,-0.46579154896978503,4.494757630121423,98225.16743014834,8.0,50.0,0.8004549987168087,-221.85407123145524,-0.46579154896978503,-0.23758926225612925,-1.6272104458098913,5.684742444007629,-0.27349964672321964,-0.35392049436764245,-0.1746894958637411,-0.9930647916589042,3.433309495492133,98372.78955419011,4.0,50.0,0.5340305487194005,-406.80261145247465,-0.9930647916589042,-0.286241718395731,0.46227129231813824,0.3087745863464074,0.3087745863464074
engulfing_trend,hybrid,100,20,0.3,3.295689798033112,43.588474519764574,0.13071220577971965,0.1811766710665301,0.019476744585599677,0.8489615850973742,14.248937125984229,103295.68979803311,24.0,50.0,1.0780370320618433,137.32040825137847,0.8489615850973742,0.07560920253216773,-10.989654729133909,13.708507069941255,-0.6800573655669182,-0.9334643972698797,-0.49874926994653856,-6.837107893190164,9.719560171903332,89010.34527086609,18.0,22.22222222222222,0.29915419442970603,-610.5363738407724,-6.837107893190164,-0.8016667805665728,0.47474747474747475,0.14646464646464646,0.14646464646464646
engulfing_trend,hybrid,100,20,0.5,33.13303585491727,24.87930872635793,0.6896279128371228,1.0049148623614435,0.31136236695505565,7.746480453244375,11.836512685428328,133133.03585491725,19.0,52.63157894736842,2.591396609459813,1743.8439923640665,7.746480453244375,1.3317506615372747,-11.097199405763837,14.965589272905477,-0.798153697419036,-1.054686273781794,-0.4614318307750508,-6.905599256824235,8.510784135718628,88902.80059423616,13.0,23.076923076923077,0.17392413974356727,-853.6307235202955,-6.905599256824235,-0.7415143636111151,0.845117845117845,0.07575757575757575,0.0757575757575758
engulfing_trend,hybrid,100,20,0.8,4.669113378465772,9.07991282878019,0.23007678228410658,0.34505229842327284,0.13181252049982445,1.196846195880208,5.935066319484498,104669.11337846577,7.0,57.14285714285714,1.5405378586816452,667.0161969236831,1.196846195880208,0.5142244718105987,-3.661032912105016,7.892582326231768,-0.49386815636005416,-0.6313282739542623,-0.2842381586036241,-2.2433730670356256,4.398029346008219,96338.96708789498,4.0,25.0,0.2988430678432305,-915.2582280262551,-2.2433730670356256,-0.46385742470334657,0.6141140935502643,0.19271793147827498,0.19271793147827498
engulfing_trend,hybrid,100,40,0.3,15.695053358228748,30.69868580463372,0.3114506021647439,0.44492916801607457,0.12619599913362764,3.8740513272050636,16.661043940614107,115695.05335822875,19.0,63.1578947368421,1.476472805013297,826.055439906776,3.8740513272050636,0.5112614089773089,1.7514210024373897,10.91340664600956,0.1468705392910754,0.217335758074869,0.09729526724906119,1.0618228162211807,12.453663851411932,101751.42100243739,14.0,35.714285714285715,1.1341040605599642,125.10150017409921,1.0618228162211807,0.1604834364966863,0.7053872053872055,0.6767676767676769,0.6767676767676769
engulfing_trend,hybrid,100,40,0.5,34.06223287369292,18.20421200271687,0.6183788503570704,0.9197865174539969,0.4362746970599095,7.942037076699671,13.925877642696546,134062.23287369293,16.0,62.5,3.3139541827132337,2128.8895546058093,7.942037076699671,1.8711182262989103,-2.2441479605226924,12.046244333920097,-0.06999723215950421,-0.10046959427543597,-0.11383241155233785,-1.3712530426788105,11.040541093544267,97755.85203947731,12.0,33.33333333333333,0.8596851562411693,-187.01233004355822,-1.3712530426788105,-0.1862944083081204,0.861111111111111,0.48400673400673394,0.4840067340067339
engulfing_trend,hybrid,100,40,0.8,-11.38478880883129,14.061453032100001,-0.5034450162850402,-0.6763908072408833,-0.22060555497194695,-3.1020346498583873,5.911478933735754,88615.21119116871,7.0,28.57142857142857,0.18834632338988744,-1626.3984012616113,-3.1020346498583873,-0.8096452609016775,6.923640974359499,10.052644441196623,0.5245166449398324,0.8082733460559519,0.41347679503429285,4.156535205165279,8.441187684118253,106923.6409743595,3.0,33.33333333333333,1.9846218357422782,2307.8803247864985,4.156535205165279,0.6887382732831778,0.17747333896177359,0.44951977573024987,0.17747333896177359
engulfing_trend,hybrid,150,10,0.3,-20.21560533662475,33.335860186418365,-0.4424300248757336,-0.5851354059982871,-0.17152815060942275,-5.7180384467506284,11.74329968825851,79784.39466337525,40.0,42.5,0.5635535982991741,-505.3901334156178,-5.7180384467506284,-0.6064221899053007,-1.2516127540170128,5.960846633982508,-0.062193455457120815,-0.09068276421979848,-0.12804807201367993,-0.7632749190506938,7.6402101228628405,98748.38724598299,17.0,47.05882352941176,0.8612902326433441,-73.62427964805858,-0.7632749190506938,-0.20997231280563852,0.17676767676767674,0.5984848484848484,0.1767676767676767
