strategy,category,param_don_window,param_structure_position,param_pullback,param_exit_level,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
donchian_rsi_pullback,hybrid,30,0.5,35.0,60.0,5.573863025839659,0.22332748507746247,1.1780040676402952,10.319970603821243,6.377080034124833,1.4241772461587976,1.2066050128686092,105573.86302583966,3.0,66.66666666666666,24.58776107676062,1857.9543419465524,1.4241772461587976,24.958249200300315,1.2413715220704908,1.8573252414619934,0.2353880223256801,0.4121447189164211,0.40560604352942886,0.7533423427367403,3.437444178292495,101241.37152207049,2.0,50.0,3.5826161462265995,620.6857610352462,0.7533423427367403,0.6683651814764254,0.49215296350991533,0.1595340834214422,0.15953408342144224
donchian_rsi_pullback,hybrid,30,0.5,35.0,65.0,5.544471761283785,2.639740091534437,0.6971173194731114,1.152871233023969,0.5367251728383798,1.4168149568772215,2.0481951899154827,105544.47176128378,3.0,66.66666666666666,24.469915520852727,1848.1572537612658,1.4168149568772215,2.1003854807769637,1.2413715220704908,1.8573252414619934,0.2353880223256801,0.4121447189164211,0.40560604352942886,0.7533423427367403,3.437444178292495,101241.37152207049,2.0,50.0,3.5826161462265995,620.6857610352462,0.7533423427367403,0.6683651814764254,0.4277150155681311,0.1595340834214422,0.15953408342144224
donchian_rsi_pullback,hybrid,30,0.5,35.0,75.0,5.544471761283785,2.639740091534437,0.6971173194731114,1.152871233023969,0.5367251728383798,1.4168149568772215,2.0481951899154827,105544.47176128378,3.0,66.66666666666666,24.469915520852727,1848.1572537612658,1.4168149568772215,2.1003854807769637,1.2413715220704908,1.8573252414619934,0.2353880223256801,0.4121447189164211,0.40560604352942886,0.7533423427367403,3.437444178292495,101241.37152207049,2.0,50.0,3.5826161462265995,620.6857610352462,0.7533423427367403,0.6683651814764254,0.4277150155681311,0.1595340834214422,0.15953408342144224
donchian_rsi_pullback,hybrid,30,0.5,40.0,60.0,7.984519427201027,6.468665933995521,0.5475174898976457,0.8892994972944405,0.3127285487103812,2.0229365096307017,3.7887020459462804,107984.51942720103,10.0,50.0,2.3252014344842507,798.4519427201005,2.0229365096307017,1.2343378849167443,-1.5174728319981952,4.344117407035375,-0.18369083115348905,-0.266770674567711,-0.21313698205121603,-0.9258920738116738,4.511686947423346,98482.5271680018,6.0,33.33333333333333,0.7241035716010181,-252.91213866636645,-0.9258920738116738,-0.3493167172555284,0.6042780748663101,0.14043304141551255,0.14043304141551258
donchian_rsi_pullback,hybrid,30,0.5,40.0,65.0,12.780083674436609,6.468665933995588,0.7309573224905974,1.2258863543536223,0.49241643425027437,3.185277413574328,4.423195542298668,112780.08367443661,10.0,50.0,3.03042752414454,1278.008367443663,3.185277413574328,1.9756907845977698,-3.721001187087895,4.344117407035375,-0.47359355030893996,-0.6695503164714778,-0.5249386453802222,-2.280395107021793,4.643700344639063,96278.9988129121,6.0,33.33333333333333,0.32347326690910966,-620.1668645146494,-2.280395107021793,-0.8565609163927448,0.7718360071301246,0.11596800624060608,0.1159680062406061
donchian_rsi_pullback,hybrid,30,0.5,40.0,75.0,22.467629715191332,6.468665933995476,1.0068735511279097,1.9411757105337277,0.8388385195652613,5.426166155635004,5.39133029889726,122467.62971519133,10.0,50.0,4.287169907635172,2246.762971519131,5.426166155635004,3.4733019055930496,-3.721001187087895,4.344117407035375,-0.47359355030893996,-0.6695503164714778,-0.5249386453802222,-2.280395107021793,4.643700344639063,96278.9988129121,6.0,33.33333333333333,0.32347326690910966,-620.1668645146494,-2.280395107021793,-0.8565609163927448,0.8983957219251337,0.11596800624060608,0.1159680062406061
donchian_rsi_pullback,hybrid,30,0.5,45.0,60.0,14.254518410688643,8.100006379797176,0.6154248185731706,1.0555158841289003,0.4364556151804326,3.5352932674598048,5.929110162840266,114254.51841068864,25.0,44.0,1.7418854199568226,570.1807364275443,3.5352932674598048,1.7598157016569629,4.316201228939521,5.189543761200854,0.424175709930315,0.6718769377781298,0.5017644391000717,2.603928514524223,6.566292561876143,104316.20122893952,13.0,53.84615384615385,1.4614410590920517,332.015479149194,2.603928514524223,0.8317111151868883,0.6629530600118836,0.3644162210338681,0.36441622103386817
donchian_rsi_pullback,hybrid,30,0.5,45.0,65.0,16.12489582970977,7.140161463911776,0.5796607944207773,0.9530616123955473,0.5566441770756857,3.974529302266694,7.164209989639674,116124.89582970977,23.0,30.434782608695656,1.762966220509042,701.0824273786848,3.974529302266694,2.2583377016345034,3.6825755855378373,5.189543761200854,0.355058486099883,0.5637340872443817,0.42862103712101246,2.22434762911079,6.8546569428625945,103682.57558553784,13.0,46.15384615384615,1.3688535595141549,283.2750450413712,2.22434762911079,0.70961451622593,0.6861259655377303,0.29096108140225796,0.29096108140225796
donchian_rsi_pullback,hybrid,30,0.5,45.0,75.0,25.11436044271347,11.620315363726586,0.7282565567547027,1.2229883859319324,0.5176709937779411,6.015500202353419,8.516291502596776,125114.36044271347,22.0,27.27272727272727,2.0955901564769137,1141.5618383051592,6.015500202353419,2.1612460296137264,4.150120658825923,5.561298798138436,0.36127655878892684,0.5501754538220186,0.4503486727101677,2.5045235322862958,7.65527263317333,104150.12065882592,10.0,40.0,1.503966873778575,415.0120658825924,2.5045235322862958,0.7462502572627666,0.7488116458704694,0.2956773618538325,0.2956773618538324
donchian_rsi_pullback,hybrid,30,0.6,35.0,60.0,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
