window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'don_window': 30, 'structure_position': 0.5, 'pullback': 35.0, 'exit_level': 60.0}",inf,2.932960802095018,0.0,5.810166208990486,0.0,0.14982518730645156,0.0,2.0,0.0,8.595042350029347
1,2018-12-17,2022-10-17,2023-09-29,"{'don_window': 30, 'structure_position': 0.6, 'pullback': 35.0, 'exit_level': 60.0}",inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-12-02,2023-10-02,2024-09-13,"{'don_window': 30, 'structure_position': 0.6, 'pullback': 35.0, 'exit_level': 60.0}",inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-11-16,2024-09-16,2025-08-29,"{'don_window': 30, 'structure_position': 0.6, 'pullback': 35.0, 'exit_level': 60.0}",inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
