window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'roc_window': 10, 'rank_lookback': 80, 'rank_floor': 0.6}",1.097772092544459,-1.4991862773429747,43.99858648280505,-6.643066944586709,13.434812206129788,7.6095874480283765,17.0,8.0,14.235412324003228,-9.548869169656015
1,2018-12-17,2022-10-17,2023-09-29,"{'roc_window': 10, 'rank_lookback': 120, 'rank_floor': 0.8}",0.9496013852354726,-1.1472457175252762,27.67397596997497,-3.56950500284438,11.656338393079569,4.484405168216144,11.0,3.0,9.326984621823332,-5.168413047853804
2,2019-12-02,2023-10-02,2024-09-13,"{'roc_window': 20, 'rank_lookback': 80, 'rank_floor': 0.5}",0.601575047665482,1.6157305437969631,15.351679792422873,15.949276910696994,11.443151510573369,6.867568732978957,19.0,5.0,5.3510168997563,24.117021523761693
3,2020-11-16,2024-09-16,2025-08-29,"{'roc_window': 20, 'rank_lookback': 80, 'rank_floor': 0.5}",1.1131842517633157,-0.6718136321262838,36.6759613157104,-3.2393516225319905,6.8675687329789685,5.890322957257343,18.0,6.0,12.079872976395611,-4.694008469799549
