strategy,category,param_vwap_window,param_adx_window,param_adx_threshold,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
vwap_adx_trend,trend,15,10,15.0,12.161145257667203,12.505871882831066,0.3970193398979743,0.6175673788006214,0.2428730421680248,3.037339149146745,8.427948141345176,112161.1452576672,14.0,35.714285714285715,1.6861507282790498,868.6532326905142,3.037339149146745,0.9724348187480532,-7.2388123693312805,8.521811593058414,-0.9147003359796722,-1.1215220004758548,-0.5243284389338516,-4.468228169476718,4.867218220960208,92761.18763066872,7.0,28.57142857142857,0.10213250668905421,-1034.1160527616114,-4.468228169476718,-0.8494452488515208,0.45557851239669417,0.2467700237903753,0.24677002379037533
vwap_adx_trend,trend,15,10,20.0,12.729947577232961,8.816928166527427,0.5388285642199464,0.9446918878983502,0.35991177743118996,3.1733162878980092,6.145210966741289,112729.94757723296,10.0,40.0,2.2760686820238347,1272.9947577232965,3.1733162878980092,1.4438075639042762,-6.774435184365066,8.06385730524395,-1.0052826663357652,-1.174197224104601,-0.5180621234431287,-4.177579038697066,4.158262963061367,93225.56481563493,5.0,20.0,0.08178738321652024,-1354.8870368730113,-4.177579038697066,-0.8400985940016115,0.5816115702479339,0.20192935291721373,0.2019293529172137
vwap_adx_trend,trend,15,10,25.0,-3.976263787737305,9.849356662191344,-0.32363405067483275,-0.42418612969549374,-0.1068360964521621,-1.05226681835362,3.1181087947428603,96023.7362122627,5.0,20.0,0.3002699896266283,-795.2527575474601,-1.05226681835362,-0.40370797038967643,-6.043023622979002,6.043023622979016,-1.439540230676093,-1.438600141408229,-0.6157419234080111,-3.7209429888131473,2.6100516808241307,93956.976377021,3.0,0.0,0.0,-2014.341207659665,-3.7209429888131473,-0.9999999999999978,0.14220053726341036,0.09216149035926646,0.09216149035926646
vwap_adx_trend,trend,15,14,15.0,13.070091988704762,7.9896132269612,0.5628611476222318,1.0021777639535352,0.40732742453661996,3.2543885787818194,6.007517934721897,113070.09198870476,9.0,33.33333333333333,2.4007167815364894,1452.232443189421,3.2543885787818194,1.6358854449423568,-8.274531648428514,9.064119907682567,-1.2879380185504457,-1.489832859194733,-0.5647029897653794,-5.11853561146024,4.016333118754499,91725.46835157149,6.0,16.666666666666664,0.06721457763859905,-1379.088608071416,-5.11853561146024,-0.9128885906965094,0.5952138323168169,0.13968910675715013,0.1396891067571501
vwap_adx_trend,trend,15,14,20.0,-3.4744632994202114,8.831113134239532,-0.2780616324985583,-0.37046286194618067,-0.10391850979836105,-0.9177161167709058,3.138267687720854,96525.53670057979,5.0,20.0,0.32802543785966587,-694.8926598840465,-0.9177161167709058,-0.39343435494549417,-8.274531648428514,9.064119907682567,-1.2879380185504457,-1.489832859194733,-0.5647029897653794,-5.11853561146024,4.016333118754499,91725.46835157149,6.0,16.666666666666664,0.06721457763859905,-1379.088608071416,-5.11853561146024,-0.9128885906965094,0.17580271901401076,0.13968910675715013,0.13968910675715013
vwap_adx_trend,trend,15,14,25.0,-3.4744632994202114,8.831113134239532,-0.2780616324985583,-0.37046286194618067,-0.10391850979836105,-0.9177161167709058,3.138267687720854,96525.53670057979,5.0,20.0,0.32802543785966587,-694.8926598840465,-0.9177161167709058,-0.39343435494549417,-4.253345145179701,5.077548454193592,-1.2551668997878385,-1.3941926739325776,-0.5139173214168916,-2.6094401009436496,2.089051814908371,95746.6548548203,3.0,0.0,0.0,-1417.7817150598976,-2.6094401009436496,-0.8376769189995272,0.17580271901401076,0.15146948411211167,0.15146948411211167
vwap_adx_trend,trend,15,20,15.0,18.069801579313484,12.616409606878843,0.5894412341989651,0.9192129400518929,0.3507935507609432,4.425755123851505,7.871234865515353,118069.80157931348,12.0,50.0,2.5821884471376237,1505.8167982761229,4.425755123851505,1.4322459512935668,-6.3887972350067574,7.354480191456869,-1.509995442572984,-1.6963181766079176,-0.5352713789359377,-3.9366427534381576,2.636526073290942,93611.20276499324,6.0,16.666666666666664,0.0019646220800028716,-1064.7995391677937,-3.9366427534381576,-0.8686946009356487,0.584366391184573,0.163746300420461,0.163746300420461
vwap_adx_trend,trend,15,20,20.0,3.818156347700118,11.50732745452494,0.18749481654625477,0.2572875898462901,0.0853110076692083,0.9817017007250683,6.258695129630783,103818.15634770012,9.0,44.44444444444444,1.4492573064397787,424.23959418890115,0.9817017007250683,0.3318021810701783,-5.361607386455318,6.337886721335417,-1.3551582216774405,-1.5252060672508132,-0.5201688543947892,-3.296771275120991,2.451406038795211,94638.39261354468,5.0,20.0,0.0023401283861064887,-1072.3214772910662,-3.296771275120991,-0.845961378326056,0.40214502062678453,0.18751095880994714,0.18751095880994711
vwap_adx_trend,trend,15,20,25.0,8.309432765267163,7.679046667107814,0.37507038679133164,0.5282825623691854,0.27384656804758817,2.102880575664745,6.035699201198015,108309.43276526716,6.0,66.66666666666666,3.0734486145293833,1384.9054608778592,2.102880575664745,1.0820917133971233,-3.6252807107814298,4.6194718022462,-0.9882492483893481,-1.1432788323606051,-0.4808570032311483,-2.2213053673388994,2.2473593118775304,96374.71928921857,4.0,25.0,0.0034570572131260085,-906.3201776953582,-2.2213053673388994,-0.7847825175637291,0.428375430716881,0.2470013114917308,0.24700131149173077
vwap_adx_trend,trend,30,10,15.0,30.21656544711385,14.435290001068314,0.8002501433111581,1.2955209381396922,0.4936553706144004,7.126058435403726,9.119728392052656,130216.56544711386,12.0,33.33333333333333,2.9684993798661727,2518.0471205928225,7.126058435403726,2.093242702077867,3.6875317399095366,8.056868986694122,0.33364292627032144,0.4946080069804619,0.27644984608105194,2.2273201912667906,7.4269992459180285,103687.53173990954,6.0,33.33333333333333,1.6887854602084234,614.5886233182563,2.2273201912667906,0.4576879363434452,0.6804407713498624,0.5828585874090391,0.5828585874090391
vwap_adx_trend,trend,30,10,20.0,13.608508440227743,11.70404393401262,0.5455152992776143,0.940617677758852,0.28898990563767246,3.3823505520694797,6.479354478821316,113608.50844022774,10.0,30.0,2.116907499544623,1360.8508440227754,3.3823505520694797,1.162718502848459,5.810789160005588,6.174107078149982,0.5081961517106185,0.771878560476797,0.5661903038888005,3.4957195628197324,7.281392736639369,105810.78916000559,5.0,40.0,2.798774805218979,1162.157832001119,3.4957195628197324,0.9411545809708797,0.5213498622589531,0.606547461715298,0.5213498622589531
vwap_adx_trend,trend,30,10,25.0,-2.815092056776251,5.957286465328782,-0.18430421184537638,-0.2603616990637646,-0.12450282302894009,-0.7416989825255293,3.6738318346193677,97184.90794322375,6.0,16.666666666666664,0.6194155465397324,-469.18200946270895,-0.7416989825255293,-0.47254602798774203,-1.608518293214831,3.2471023669880084,-0.21188842363494656,-0.2762035478185804,-0.3023067169383042,-0.9816208561267414,4.232261536726202,98391.48170678517,2.0,0.0,0.0,-804.2591466074203,-0.9816208561267414,-0.49537036761390507,0.2184554656021952,0.22595631768453986,0.2184554656021952
