window,train_start,test_start,test_end,params,is_sharpe_ratio,oos_sharpe_ratio,is_total_return_pct,oos_total_return_pct,is_max_drawdown_pct,oos_max_drawdown_pct,is_total_trades,oos_total_trades,is_cagr_pct,oos_cagr_pct
0,2018-01-01,2021-11-01,2022-10-14,"{'fast_window': 20, 'slow_window': 100, 'er_window': 20, 'er_floor': 0.4}",1.6996990633553846,1.1599406474440759,49.76299368063201,4.645441148325175,4.422277734130276,2.226645001113514,6.0,1.0,15.883778453165087,6.854214773290512
1,2018-12-17,2022-10-17,2023-09-29,"{'fast_window': 20, 'slow_window': 100, 'er_window': 20, 'er_floor': 0.4}",1.7482925840456383,0.5474377180384566,49.447453715206024,1.2007325599142495,4.422277734130253,2.8229457758528587,6.0,2.0,15.7946007812509,1.75790054733993
2,2019-12-02,2023-10-02,2024-09-13,"{'fast_window': 20, 'slow_window': 50, 'er_window': 20, 'er_floor': 0.4}",1.5288525605124619,-1.719589433996958,33.004166752674344,-2.8581694976548606,3.8461321750226096,2.858169497654872,7.0,1.0,10.971336118460528,-4.145352813174485
3,2020-11-16,2024-09-16,2025-08-29,"{'fast_window': 30, 'slow_window': 50, 'er_window': 20, 'er_floor': 0.3}",1.2678420172366813,-1.2782304047693154,29.081757655312135,-3.194200213011747,4.827160601247682,4.3789194300598355,11.0,2.0,9.765453916896272,-4.629071471944268
