strategy,category,param_bb_window,param_squeeze_lookback,param_squeeze_quantile,param_atr_window,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
squeeze_breakout,momentum,15,80,0.15,10,13.779912571051886,14.977698711356657,0.38916298013636064,0.6075515371226206,0.2285393131346509,3.422992975831196,9.904390037078954,113779.91257105189,15.0,40.0,1.6733459101401456,918.6608380701266,3.422992975831196,0.9200286930997909,-3.0787895655881004,5.079964345608623,-0.30059363313978055,-0.4224582413335839,-0.3709449428381653,-1.8843870838017085,5.775138504096485,96921.2104344119,8.0,25.0,0.4618560852960098,-384.8486956985122,-1.8843870838017085,-0.6060651918255215,0.7954545454545456,0.4825991830226818,0.48259918302268173
squeeze_breakout,momentum,15,80,0.15,14,13.779912571051886,14.977698711356657,0.38916298013636064,0.6075515371226206,0.2285393131346509,3.422992975831196,9.904390037078954,113779.91257105189,15.0,40.0,1.6733459101401456,918.6608380701266,3.422992975831196,0.9200286930997909,-3.0787895655881004,5.079964345608623,-0.30059363313978055,-0.4224582413335839,-0.3709449428381653,-1.8843870838017085,5.775138504096485,96921.2104344119,8.0,25.0,0.4618560852960098,-384.8486956985122,-1.8843870838017085,-0.6060651918255215,0.7954545454545456,0.4825991830226818,0.48259918302268173
squeeze_breakout,momentum,15,80,0.25,10,11.818925102352004,14.977698711356657,0.34147963971012024,0.5300284993468495,0.19731219734880745,2.955282643966184,9.982880416278055,111818.925102352,16.0,37.5,1.5270230518689119,738.6828188970014,2.955282643966184,0.7891015389026652,-3.4731335174237175,5.079964345608657,-0.3188630181099801,-0.4477242530664849,-0.41878833710818575,-2.1274298208663223,6.151690518403632,96526.86648257628,9.0,22.22222222222222,0.43107405318520803,-385.90372415818956,-2.1274298208663223,-0.6836924988314231,0.699915824915825,0.4535792199433432,0.45357921994334327
squeeze_breakout,momentum,15,80,0.25,14,11.818925102352004,14.977698711356657,0.34147963971012024,0.5300284993468495,0.19731219734880745,2.955282643966184,9.982880416278055,111818.925102352,16.0,37.5,1.5270230518689119,738.6828188970014,2.955282643966184,0.7891015389026652,-3.4731335174237175,5.079964345608657,-0.3188630181099801,-0.4477242530664849,-0.41878833710818575,-2.1274298208663223,6.151690518403632,96526.86648257628,9.0,22.22222222222222,0.43107405318520803,-385.90372415818956,-2.1274298208663223,-0.6836924988314231,0.699915824915825,0.4535792199433432,0.45357921994334327
squeeze_breakout,momentum,15,80,0.35,10,14.891513006450682,16.766883515891895,0.3839772749743157,0.5927163085145679,0.2198069117619616,3.685476885500738,10.994760568157805,114891.51300645068,21.0,38.095238095238095,1.5483304631506283,709.1196669738422,3.685476885500738,0.888150322767871,-6.292364571959057,7.852265177136908,-0.5701247652556521,-0.7749244295285669,-0.4936734703988447,-3.8764550004891762,6.557658396854353,93707.63542804094,10.0,20.0,0.2948902741248772,-629.2364571959059,-3.8764550004891762,-0.8013438708463713,0.7129629629629629,0.3063973063973064,0.30639730639730633
squeeze_breakout,momentum,15,80,0.35,14,14.891513006450682,16.766883515891895,0.3839772749743157,0.5927163085145679,0.2198069117619616,3.685476885500738,10.994760568157805,114891.51300645068,21.0,38.095238095238095,1.5483304631506283,709.1196669738422,3.685476885500738,0.888150322767871,-6.292364571959057,7.852265177136908,-0.5701247652556521,-0.7749244295285669,-0.4936734703988447,-3.8764550004891762,6.557658396854353,93707.63542804094,10.0,20.0,0.2948902741248772,-629.2364571959059,-3.8764550004891762,-0.8013438708463713,0.7129629629629629,0.3063973063973064,0.30639730639730633
squeeze_breakout,momentum,15,120,0.15,10,4.0262380506463815,14.977698711356691,0.16960164915679224,0.25341440820416555,0.06906470502966926,1.0344303435231073,7.906817597190936,104026.23805064638,13.0,30.76923076923077,1.2151365708173274,309.7106192804913,1.0344303435231073,0.2688155322281604,-2.958371220741683,5.07996434560869,-0.339151789983334,-0.47506473231641516,-0.35635050822922654,-1.8102478763440066,5.0163800546469535,97041.62877925832,6.0,16.666666666666664,0.36523756215216474,-493.0618701236156,-1.8102478763440066,-0.5823606268612906,0.3367003367003367,0.3605656212883336,0.3367003367003367
squeeze_breakout,momentum,15,120,0.15,14,4.0262380506463815,14.977698711356691,0.16960164915679224,0.25341440820416555,0.06906470502966926,1.0344303435231073,7.906817597190936,104026.23805064638,13.0,30.76923076923077,1.2151365708173274,309.7106192804913,1.0344303435231073,0.2688155322281604,-2.958371220741683,5.07996434560869,-0.339151789983334,-0.47506473231641516,-0.35635050822922654,-1.8102478763440066,5.0163800546469535,97041.62877925832,6.0,16.666666666666664,0.36523756215216474,-493.0618701236156,-1.8102478763440066,-0.5823606268612906,0.3367003367003367,0.3605656212883336,0.3367003367003367
squeeze_breakout,momentum,15,120,0.25,10,8.843486787650807,15.374215515018319,0.2953279478227575,0.4473872825693369,0.14530164462915035,2.2338987992151615,8.78403803952818,108843.4867876508,17.0,35.294117647058826,1.404815579107053,520.2051051559297,2.2338987992151615,0.5752154819874898,-3.4731335174237175,5.079964345608657,-0.3188630181099801,-0.4477242530664849,-0.41878833710818575,-2.1274298208663223,6.151690518403632,96526.86648257628,9.0,22.22222222222222,0.43107405318520803,-385.90372415818956,-2.1274298208663223,-0.6836924988314231,0.6186868686868687,0.4535792199433432,0.45357921994334327
squeeze_breakout,momentum,15,120,0.25,14,8.843486787650807,15.374215515018319,0.2953279478227575,0.4473872825693369,0.14530164462915035,2.2338987992151615,8.78403803952818,108843.4867876508,17.0,35.294117647058826,1.404815579107053,520.2051051559297,2.2338987992151615,0.5752154819874898,-3.4731335174237175,5.079964345608657,-0.3188630181099801,-0.4477242530664849,-0.41878833710818575,-2.1274298208663223,6.151690518403632,96526.86648257628,9.0,22.22222222222222,0.43107405318520803,-385.90372415818956,-2.1274298208663223,-0.6836924988314231,0.6186868686868687,0.4535792199433432,0.45357921994334327
squeeze_breakout,momentum,15,120,0.35,10,5.083121725007688,16.766883515891905,0.18861530025601628,0.2818826990978915,0.07759648058641833,1.3010511512356437,8.991949309681244,105083.12172500769,19.0,31.57894736842105,1.2002024048876638,267.53272236882594,1.3010511512356437,0.3031643728060631,-2.3149508870647257,7.852265177136908,-0.13475572499696567,-0.1957004250591349,-0.18016655823254815,-1.4147155912940468,8.128851309406201,97685.04911293527,11.0,27.27272727272727,0.7474449858416005,-210.4500806422477,-1.4147155912940468,-0.2948131316050132,0.33080808080808083,0.5833333333333334,0.3308080808080808
squeeze_breakout,momentum,15,120,0.35,14,5.083121725007688,16.766883515891905,0.18861530025601628,0.2818826990978915,0.07759648058641833,1.3010511512356437,8.991949309681244,105083.12172500769,19.0,31.57894736842105,1.2002024048876638,267.53272236882594,1.3010511512356437,0.3031643728060631,-2.3149508870647257,7.852265177136908,-0.13475572499696567,-0.1957004250591349,-0.18016655823254815,-1.4147155912940468,8.128851309406201,97685.04911293527,11.0,27.27272727272727,0.7474449858416005,-210.4500806422477,-1.4147155912940468,-0.2948131316050132,0.33080808080808083,0.5833333333333334,0.3308080808080808
squeeze_breakout,momentum,15,180,0.15,10,2.2333543629750636,14.977698711356691,0.11187879640137091,0.16595426476609768,0.03855878208242695,0.5775218207074495,8.00453524196005,102233.35436297506,14.0,28.57142857142857,1.108903292954437,159.52531164107677,0.5775218207074495,0.14911198349060426,-2.4562786660128766,5.079964345608678,-0.2718389388529819,-0.38377191499397134,-0.29557429960367415,-1.501506903464922,5.090067205194941,97543.72133398712,6.0,16.666666666666664,0.4105842178689225,-409.37977766881176,-1.501506903464922,-0.4835228160875147,0.24915824915824922,0.4309835003102866,0.2491582491582492
squeeze_breakout,momentum,15,180,0.15,14,2.2333543629750636,14.977698711356691,0.11187879640137091,0.16595426476609768,0.03855878208242695,0.5775218207074495,8.00453524196005,102233.35436297506,14.0,28.57142857142857,1.108903292954437,159.52531164107677,0.5775218207074495,0.14911198349060426,-2.4562786660128766,5.079964345608678,-0.2718389388529819,-0.38377191499397134,-0.29557429960367415,-1.501506903464922,5.090067205194941,97543.72133398712,6.0,16.666666666666664,0.4105842178689225,-409.37977766881176,-1.501506903464922,-0.4835228160875147,0.24915824915824922,0.4309835003102866,0.2491582491582492
squeeze_breakout,momentum,15,180,0.25,10,6.8413870314168745,15.374215515018319,0.23818083197385073,0.35714003642314146,0.11319280248771282,1.7402505401949986,8.904192215154586,106841.38703141687,18.0,33.33333333333333,1.2868768639508705,380.07705730093744,1.7402505401949986,0.44499096716407144,1.7298097063143651,5.409056127044765,0.17518624453030313,0.26444999921686085,0.19389048230943343,1.0487645013115054,7.595588054451804,101729.80970631437,9.0,33.33333333333333,1.332869533592075,192.20107847937481,1.0487645013115054,0.31979880882830586,0.48905723905723897,0.7250879079375981,0.4890572390572389
squeeze_breakout,momentum,15,180,0.25,14,6.8413870314168745,15.374215515018319,0.23818083197385073,0.35714003642314146,0.11319280248771282,1.7402505401949986,8.904192215154586,106841.38703141687,18.0,33.33333333333333,1.2868768639508705,380.07705730093744,1.7402505401949986,0.44499096716407144,1.7298097063143651,5.409056127044765,0.17518624453030313,0.26444999921686085,0.19389048230943343,1.0487645013115054,7.595588054451804,101729.80970631437,9.0,33.33333333333333,1.332869533592075,192.20107847937481,1.0487645013115054,0.31979880882830586,0.48905723905723897,0.7250879079375981,0.4890572390572389
squeeze_breakout,momentum,15,180,0.35,10,6.4647949310615225,16.766883515891816,0.2122545302470576,0.3172382393270156,0.0982074738181418,1.6466332738987788,10.086861132399612,106464.79493106152,20.0,35.0,1.2513587133288464,323.23974655307666,1.6466332738987788,0.3855692636579795,-2.3149508870647257,7.852265177136908,-0.13475572499696567,-0.1957004250591349,-0.18016655823254815,-1.4147155912940468,8.128851309406201,97685.04911293527,11.0,27.27272727272727,0.7474449858416005,-210.4500806422477,-1.4147155912940468,-0.2948131316050132,0.4267676767676768,0.5833333333333334,0.4267676767676768
squeeze_breakout,momentum,15,180,0.35,14,6.4647949310615225,16.766883515891816,0.2122545302470576,0.3172382393270156,0.0982074738181418,1.6466332738987788,10.086861132399612,106464.79493106152,20.0,35.0,1.2513587133288464,323.23974655307666,1.6466332738987788,0.3855692636579795,-2.3149508870647257,7.852265177136908,-0.13475572499696567,-0.1957004250591349,-0.18016655823254815,-1.4147155912940468,8.128851309406201,97685.04911293527,11.0,27.27272727272727,0.7474449858416005,-210.4500806422477,-1.4147155912940468,-0.2948131316050132,0.4267676767676768,0.5833333333333334,0.4267676767676768
