strategy,category,param_roc_window,param_vol_window,param_vol_multiplier,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
momentum_volume,momentum,10,10,1.1,-19.052144201162257,27.185554508945042,-0.5055466299293486,-0.6732470689878202,-0.1972189105230413,-5.361505442218895,9.923221612327009,80947.85579883774,31.0,22.58064516129032,0.6077188388302568,-614.5852968116856,-5.361505442218895,-0.7008186717285242,7.920900013924023,10.164776607026182,0.6441432743406452,0.9907815708750072,0.4669484117178764,4.7464262921179,7.65256493796841,107920.90001392402,14.0,35.714285714285715,1.6241594654146547,565.7785724231436,4.7464262921179,0.7792497877866664,0.31897926634768736,0.748917748917749,0.31897926634768736
momentum_volume,momentum,10,10,1.3,-18.990410608058564,19.272621684302592,-1.4145302300703653,-1.4614517940722842,-0.27721676366065434,-5.342693810578513,3.8285703603786794,81009.58939194144,6.0,0.0,0.0,-3165.06843467643,-5.342693810578513,-0.9853568922346518,4.5713576350959775,5.199549268166026,0.7461580636756544,1.244622224818335,0.5301474509068425,2.7565277903827567,3.737660330775574,104571.35763509598,3.0,33.33333333333333,2.497380326816534,1523.7858783653205,2.7565277903827567,0.8791834444350554,0.07010902867536553,0.45673185125295507,0.07010902867536556
momentum_volume,momentum,10,10,1.6,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
momentum_volume,momentum,10,10,2.0,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
momentum_volume,momentum,10,20,1.1,-13.412353873477493,22.883742427947183,-0.3108929454794386,-0.4205715567350452,-0.1610319398665369,-3.68501343457851,10.349912414382107,86587.64612652251,31.0,25.806451612903224,0.7295180602353922,-432.6565765637906,-3.68501343457851,-0.5861084093088469,3.9539220230183565,12.345350263894005,0.3499225599073399,0.5212573180142368,0.1933531056256961,2.387011813560913,7.554839575399747,103953.92202301836,15.0,33.33333333333333,1.2593897755224774,263.59480153455775,2.387011813560913,0.32027621237951004,0.423444976076555,0.6098484848484848,0.42344497607655496
momentum_volume,momentum,10,20,1.3,-14.959134939328955,15.987323329957592,-0.9644201212811747,-1.0987461703970196,-0.25874111944655775,-4.1365779353472965,4.283876975716613,85040.86506067104,11.0,18.181818181818183,0.09352595112542404,-1359.9213581208144,-4.1365779353472965,-0.9356872711329993,1.6859116905870615,7.815385786769157,0.2690942681658931,0.4127231417645017,0.13079794638468675,1.0222364111134752,4.089317852223331,101685.91169058706,5.0,20.0,1.2839024054375454,337.182338117409,1.0222364111134752,0.21571701469186325,0.19936204146730463,0.382250906063507,0.19936204146730463
momentum_volume,momentum,10,20,1.6,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
momentum_volume,momentum,10,20,2.0,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
momentum_volume,momentum,10,40,1.1,-21.574188637753075,27.394803135071655,-0.5302525196860168,-0.7091820772647118,-0.22410320698124161,-6.139263237189329,10.837694322801305,78425.81136224692,36.0,22.22222222222222,0.6216954983213018,-599.2830177153644,-6.139263237189329,-0.7875285152216752,-1.7752499142981832,12.150620744252539,-0.14226923173453052,-0.19884829587305955,-0.08919127914213078,-1.083729406550793,6.276221867077974,98224.75008570182,15.0,26.666666666666668,0.8850965106710136,-118.3499942865468,-1.083729406550793,-0.1461036396134665,0.25976874003189787,0.3793290043290043,0.25976874003189787
momentum_volume,momentum,10,40,1.3,-6.8559947345854315,13.312158765142346,-0.2689235701297836,-0.355616127661514,-0.13781719654502295,-1.8346444009741725,6.1739101946420005,93144.00526541457,13.0,30.76923076923077,0.5867471364165295,-527.3842103527239,-1.8346444009741725,-0.5150175005828306,3.5936196381389305,6.085929677729185,0.5855006548877472,0.9541179348598932,0.356721979797687,2.170984883549054,3.7905670031964824,103593.61963813893,4.0,25.0,1.8915751113342434,898.40490953473,2.170984883549054,0.5904799806165032,0.4828548644338118,0.47297269765721867,0.47297269765721867
momentum_volume,momentum,10,40,1.6,-6.523172522616733,6.577652767191566,-0.6340580460529346,-0.6689405090025772,-0.26503612808353383,-1.7433156212943945,2.71412031501435,93476.82747738327,2.0,0.0,0.0,-3261.586261308369,-1.7433156212943945,-0.9917173729743575,-0.6896767192949337,0.6896767192949183,-1.2900766978233214,-1.2882146066997695,-0.6091575981635936,-0.4201218138350393,0.3259287958939656,99310.32328070507,1.0,0.0,0.0,-689.6767192949369,-0.4201218138350393,-1.0000000000000224,0.11224918595184352,0.055100292563539946,0.05510029256353994
momentum_volume,momentum,10,40,2.0,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
momentum_volume,momentum,20,10,1.1,12.133101924885036,17.904067138265688,0.35583653322334846,0.5369631348885975,0.16927002946790895,3.0306219720896532,9.711750561124264,112133.10192488504,15.0,33.33333333333333,1.5373305722356205,808.8734616590023,3.0306219720896532,0.6776729461069443,22.970706906451742,5.864191684144249,1.2553088950296982,2.0175215330089897,2.2857804621305178,13.40425477780518,10.45575955141954,122970.70690645174,9.0,44.44444444444444,4.528710067380738,2552.3007673835255,13.40425477780518,3.917113925276441,0.8257575757575757,0.8670595727312326,0.8257575757575757
momentum_volume,momentum,20,10,1.3,1.5859928799450136,7.202812922302105,0.11138224896262251,0.18343654587281305,0.057073390723126026,0.4110889562201292,4.642203810437205,101585.99287994501,4.0,75.0,1.4770943863909278,396.49821998625066,0.4110889562201292,0.2201907639492199,2.10183366636507,7.438326602832568,0.2426187103499368,0.3426180291056811,0.17119485727415598,1.273403261130479,5.942414648320456,102101.83366636507,5.0,20.0,1.4686823923717542,420.366733273013,1.273403261130479,0.28256807997173405,0.4675329172210665,0.3987041482664408,0.39870414826644085
momentum_volume,momentum,20,10,1.6,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
momentum_volume,momentum,20,10,2.0,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
momentum_volume,momentum,20,20,1.1,8.147508198503624,17.904067138265688,0.26827888732796557,0.4078368559814883,0.11522865972925612,2.0630616600449736,9.174985564577089,108147.50819850362,14.0,28.57142857142857,1.358395780874786,581.9648713216889,2.0630616600449736,0.45506465852612127,4.015476976030215,7.57700730337384,0.3506714587489416,0.5271136018915138,0.3199005812666009,2.4238890406105718,7.664482768997054,104015.47697603022,8.0,25.0,1.5598404870254265,501.93462200377667,2.4238890406105718,0.5299555372267135,0.7347488038277511,0.613708700318124,0.613708700318124
momentum_volume,momentum,20,20,1.3,-2.774597973037773,9.903762221475098,-0.12279990194424116,-0.18447708216662967,-0.07380205659822382,-0.7309180200046561,4.972657450354173,97225.40202696223,6.0,50.0,0.6311527876808684,-462.43299550629524,-0.7309180200046561,-0.2801559559882603,2.10183366636507,7.438326602832568,0.2426187103499368,0.3426180291056811,0.17119485727415598,1.273403261130479,5.942414648320456,102101.83366636507,5.0,20.0,1.4686823923717542,420.366733273013,1.273403261130479,0.28256807997173405,0.4535467339637633,0.3987041482664408,0.39870414826644085
momentum_volume,momentum,20,20,1.6,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
momentum_volume,momentum,20,20,2.0,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
momentum_volume,momentum,20,40,1.1,8.147508198503624,17.904067138265688,0.26827888732796557,0.4078368559814883,0.11522865972925612,2.0630616600449736,9.174985564577089,108147.50819850362,14.0,28.57142857142857,1.358395780874786,581.9648713216889,2.0630616600449736,0.45506465852612127,18.77442099862553,6.86756873297899,1.0225151359949147,1.5951875912958926,1.6066992108027185,11.03411726341077,10.806544416413992,118774.42099862553,10.0,40.0,3.358686821582992,1877.4420998625528,11.03411726341077,2.73377984678453,0.7347488038277511,0.8566017316017316,0.7347488038277512
momentum_volume,momentum,20,40,1.3,-2.774597973037773,9.903762221475098,-0.12279990194424116,-0.18447708216662967,-0.07380205659822382,-0.7309180200046561,4.972657450354173,97225.40202696223,6.0,50.0,0.6311527876808684,-462.43299550629524,-0.7309180200046561,-0.2801559559882603,2.10183366636507,7.438326602832568,0.2426187103499368,0.3426180291056811,0.17119485727415598,1.273403261130479,5.942414648320456,102101.83366636507,5.0,20.0,1.4686823923717542,420.366733273013,1.273403261130479,0.28256807997173405,0.4535467339637633,0.3987041482664408,0.39870414826644085
momentum_volume,momentum,20,40,1.6,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,inf,inf,,0.0,0.0,100000.0,0.0,,,,0.0,,0.0,0.0,0.0
